R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,-10.000000,-12.000000,10.000000,-12.000000
0,10,40,-10.000000,3.795328,10.000000,3.795328
0,20,30,-10.000000,3.795328,10.000000,3.795328
0,30,20,-10.000000,3.795328,10.000000,3.795328
0,40,10,-10.000000,3.795328,10.000000,3.795328
0,50,0,-10.000000,3.795328,-10.000000,-16.204672
10,0,40,1.979592,-12.000000,10.000000,-0.020408
10,10,30,1.979592,3.795328,10.000000,15.774920
10,20,20,1.979592,3.795328,10.000000,15.774920
10,30,10,1.979592,3.795328,10.000000,15.774920
10,40,0,1.979592,3.795328,-10.000000,-4.225080
20,0,30,1.986964,-12.000000,10.000000,-0.013036
20,10,20,1.986964,3.795328,10.000000,15.782292
20,20,10,1.986964,3.795328,10.000000,15.782292
20,30,0,1.986964,3.795328,-10.000000,-4.217708
30,0,20,1.986964,-12.000000,10.000000,-0.013036
30,10,10,1.986964,3.795328,10.000000,15.782292
30,20,0,1.986964,3.795328,-10.000000,-4.217708
40,0,10,1.986964,-12.000000,10.000000,-0.013036
40,10,0,1.986964,3.795328,-10.000000,-4.217708
50,0,0,1.986964,-12.000000,-10.000000,-20.013036
