R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,2.238923,10.000000,12.238923
0,20,30,0.000000,5.227307,10.000000,15.227307
0,30,20,0.000000,5.227307,10.000000,15.227307
0,40,10,0.000000,5.227307,4.400000,9.627307
0,50,0,0.000000,5.227307,-10.000000,-4.772693
10,0,40,23.607500,0.000000,10.000000,33.607500
10,10,30,23.607500,2.238923,10.000000,35.846423
10,20,20,23.607500,5.227307,10.000000,38.834807
10,30,10,23.607500,5.227307,4.400000,33.234807
10,40,0,23.607500,5.227307,-10.000000,18.834807
20,0,30,23.750000,0.000000,10.000000,33.750000
20,10,20,23.750000,2.238923,10.000000,35.988923
20,20,10,23.750000,5.227307,4.400000,33.377307
20,30,0,23.750000,5.227307,-10.000000,18.977307
30,0,20,23.750000,0.000000,10.000000,33.750000
30,10,10,23.750000,2.238923,4.400000,30.388923
30,20,0,23.750000,5.227307,-10.000000,18.977307
40,0,10,23.750000,0.000000,4.400000,28.150000
40,10,0,23.750000,2.238923,-10.000000,15.988923
50,0,0,23.750000,0.000000,-10.000000,13.750000
