window,BS1_RU,BS1_Re,BS1_Rm,BS1_pU,BS1_pe,BS1_pm,BS2_RU,BS2_Re,BS2_Rm,BS2_pU,BS2_pe,BS2_pm,BS3_RU,BS3_Re,BS3_Rm,BS3_pU,BS3_pe,BS3_pm,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,20,0,30,14.00,14.00,14.00,30,0,20,28.00,22.00,14.00,10,20,20,14.00,28.00,14.00,53.582375,16.195302,27.033333,96.811010
1,20,0,30,14.00,14.00,14.00,10,0,40,28.00,22.00,14.00,40,0,10,20.00,14.00,20.00,52.779506,0.000000,1.033333,53.812840
2,30,0,20,14.00,14.00,14.00,20,0,30,28.00,22.00,14.00,10,0,40,28.00,22.00,14.00,41.289256,0.000000,-5.466667,35.822590
3,30,0,20,28.00,14.00,28.00,20,0,30,28.00,22.00,14.00,10,0,40,24.00,14.00,24.00,51.827250,0.000000,-9.466667,42.360583
4,30,0,20,28.00,22.00,14.00,10,0,40,28.00,22.00,14.00,40,0,10,14.00,14.00,14.00,48.974875,0.000000,-7.500000,41.474875
5,30,0,20,28.00,22.00,14.00,10,0,40,20.00,14.00,14.00,40,0,10,14.00,14.00,20.00,54.408638,0.000000,-7.500000,46.908638
6,30,0,20,24.00,14.00,14.00,20,0,30,28.00,22.00,14.00,40,0,10,14.00,14.00,14.00,56.812375,0.000000,-13.200000,43.612375
7,0,0,50,28.00,22.00,14.00,10,0,40,24.00,14.00,20.00,30,0,20,28.00,22.00,14.00,31.337187,0.000000,-19.866667,11.470520
8,0,0,50,28.00,22.00,14.00,0,0,50,14.00,14.00,28.00,40,0,10,28.00,22.00,14.00,8.550000,0.000000,-21.366667,-12.816667
9,0,0,50,28.00,22.00,14.00,0,0,50,28.00,22.00,14.00,30,0,20,28.00,22.00,14.00,12.350000,0.000000,-25.466667,-13.116667
