window,RB_BS1_U,RB_BS1_E,RB_BS1_M,P_BS1_U,P_BS1_E,P_BS1_M,RB_BS2_U,RB_BS2_E,RB_BS2_M,P_BS2_U,P_BS2_E,P_BS2_M,RB_BS3_U,RB_BS3_E,RB_BS3_M,P_BS3_U,P_BS3_E,P_BS3_M,sum_U,sum_E,sum_M,objective
0,0,30,20,20.44,26.15,23.44,20,0,30,23.86,24.31,25.63,20,0,30,18.48,24.69,20.91,38.160637,7.745405,30.000000,75.906043
1,10,20,20,20.54,24.87,20.18,20,0,30,22.00,27.12,21.16,20,0,30,22.17,19.69,22.08,51.028074,5.140763,30.000000,86.168838
2,20,0,30,19.30,21.94,24.95,0,30,20,22.52,23.18,22.45,20,0,30,24.20,22.74,20.03,38.614917,8.085845,30.000000,76.700763
3,30,0,20,23.17,20.95,21.83,0,30,20,20.47,21.73,21.85,20,0,30,22.58,23.69,22.54,49.441450,6.195023,30.000000,85.636473
4,20,0,30,18.72,20.72,20.52,30,0,20,19.02,20.56,20.36,10,20,20,18.99,25.37,23.56,46.745005,5.629421,30.000000,82.374426
5,20,0,30,20.87,24.58,23.39,10,20,20,21.66,21.07,19.27,30,0,20,22.48,23.24,25.41,52.109168,5.051691,30.000000,87.160859
6,0,0,50,23.54,21.08,21.03,0,30,20,20.49,22.95,22.82,30,0,20,25.85,22.77,20.99,52.085674,6.875435,30.000000,88.961109
7,0,20,30,21.43,21.09,21.85,10,20,20,20.18,25.78,19.93,30,0,20,19.85,19.92,21.24,48.633718,6.081235,30.000000,84.714953
8,10,0,40,20.30,22.92,23.40,20,20,10,23.99,24.46,22.55,30,0,20,20.26,21.09,22.08,51.454280,7.151407,30.000000,88.605687
9,0,30,20,23.47,24.99,24.29,30,0,20,21.63,23.61,21.98,10,0,40,21.22,25.79,20.58,56.804063,7.598200,30.000000,94.402263
