window,user,bs
0,U1,SBS_3
0,U2,MBS_1
0,U3,MBS_1
0,U4,MBS_1
0,U5,MBS_1
0,U6,SBS_2
0,U7,MBS_1
0,U8,MBS_1
0,U9,SBS_3
0,U10,SBS_2
0,e1,MBS_1
0,e2,MBS_1
0,e3,SBS_1
0,e4,SBS_2
0,e5,MBS_1
0,e6,MBS_1
0,e7,MBS_1
0,e8,MBS_1
0,e9,MBS_1
0,e10,SBS_2
0,e11,SBS_1
0,e12,MBS_1
0,e13,SBS_1
0,e14,SBS_3
0,e15,MBS_1
0,e16,SBS_1
0,e17,MBS_1
0,e18,SBS_2
0,e19,MBS_1
0,e20,SBS_1
0,m1,SBS_3
0,m2,SBS_3
0,m3,MBS_1
0,m4,SBS_1
0,m5,SBS_2
0,m6,SBS_1
0,m7,SBS_2
0,m8,SBS_1
0,m9,SBS_3
0,m10,MBS_1
0,m11,SBS_3
0,m12,MBS_1
0,m13,SBS_1
0,m14,SBS_2
0,m15,MBS_1
0,m16,SBS_3
0,m17,MBS_1
0,m18,MBS_1
0,m19,MBS_1
0,m20,MBS_1
0,m21,MBS_1
0,m22,SBS_2
0,m23,MBS_1
0,m24,SBS_3
0,m25,MBS_1
0,m26,MBS_1
0,m27,MBS_1
0,m28,SBS_3
0,m29,MBS_1
0,m30,MBS_1
0,m31,SBS_1
0,m32,MBS_1
0,m33,SBS_2
0,m34,SBS_3
0,m35,SBS_2
0,m36,SBS_2
0,m37,MBS_1
0,m38,SBS_3
0,m39,SBS_3
0,m40,SBS_2
1,U1,SBS_3
1,U2,MBS_1
1,U3,MBS_1
1,U4,SBS_1
1,U5,SBS_2
1,U6,SBS_2
1,U7,MBS_1
1,U8,SBS_3
1,U9,MBS_1
1,U10,MBS_1
1,e1,SBS_3
1,e2,MBS_1
1,e3,SBS_1
1,e4,MBS_1
1,e5,SBS_3
1,e6,MBS_1
1,e7,MBS_1
1,e8,MBS_1
1,e9,SBS_2
1,e10,MBS_1
1,e11,SBS_1
1,e12,SBS_3
1,e13,MBS_1
1,e14,MBS_1
1,e15,MBS_1
1,e16,MBS_1
1,e17,MBS_1
1,e18,SBS_2
1,e19,SBS_1
1,e20,SBS_1
1,m1,SBS_3
1,m2,MBS_1
1,m3,MBS_1
1,m4,SBS_1
1,m5,SBS_2
1,m6,MBS_1
1,m7,SBS_2
1,m8,SBS_1
1,m9,MBS_1
1,m10,SBS_3
1,m11,MBS_1
1,m12,MBS_1
1,m13,MBS_1
1,m14,MBS_1
1,m15,SBS_1
1,m16,SBS_3
1,m17,SBS_1
1,m18,MBS_1
1,m19,SBS_3
1,m20,MBS_1
1,m21,SBS_3
1,m22,SBS_2
1,m23,SBS_3
1,m24,MBS_1
1,m25,MBS_1
1,m26,MBS_1
1,m27,SBS_3
1,m28,MBS_1
1,m29,MBS_1
1,m30,MBS_1
1,m31,SBS_1
1,m32,MBS_1
1,m33,SBS_2
1,m34,SBS_3
1,m35,MBS_1
1,m36,SBS_2
1,m37,MBS_1
1,m38,SBS_3
1,m39,SBS_3
1,m40,MBS_1
2,U1,MBS_1
2,U2,MBS_1
2,U3,MBS_1
2,U4,SBS_1
2,U5,SBS_2
2,U6,MBS_1
2,U7,MBS_1
2,U8,SBS_3
2,U9,MBS_1
2,U10,MBS_1
2,e1,SBS_3
2,e2,SBS_1
2,e3,SBS_1
2,e4,SBS_2
2,e5,SBS_3
2,e6,SBS_2
2,e7,SBS_3
2,e8,SBS_2
2,e9,MBS_1
2,e10,SBS_2
2,e11,SBS_1
2,e12,MBS_1
2,e13,SBS_1
2,e14,SBS_3
2,e15,SBS_1
2,e16,MBS_1
2,e17,MBS_1
2,e18,MBS_1
2,e19,MBS_1
2,e20,SBS_1
2,m1,SBS_3
2,m2,SBS_3
2,m3,MBS_1
2,m4,SBS_1
2,m5,MBS_1
2,m6,MBS_1
2,m7,SBS_2
2,m8,MBS_1
2,m9,MBS_1
2,m10,SBS_3
2,m11,SBS_3
2,m12,SBS_3
2,m13,SBS_1
2,m14,SBS_2
2,m15,MBS_1
2,m16,SBS_3
2,m17,SBS_1
2,m18,SBS_1
2,m19,SBS_3
2,m20,SBS_1
2,m21,MBS_1
2,m22,SBS_2
2,m23,SBS_3
2,m24,SBS_3
2,m25,MBS_1
2,m26,MBS_1
2,m27,SBS_3
2,m28,MBS_1
2,m29,SBS_1
2,m30,MBS_1
2,m31,SBS_1
2,m32,SBS_2
2,m33,SBS_2
2,m34,MBS_1
2,m35,MBS_1
2,m36,SBS_2
2,m37,MBS_1
2,m38,SBS_3
2,m39,SBS_3
2,m40,SBS_2
3,U1,SBS_3
3,U2,SBS_2
3,U3,SBS_2
3,U4,MBS_1
3,U5,MBS_1
3,U6,SBS_2
3,U7,MBS_1
3,U8,SBS_3
3,U9,MBS_1
3,U10,SBS_2
3,e1,MBS_1
3,e2,SBS_1
3,e3,MBS_1
3,e4,SBS_2
3,e5,MBS_1
3,e6,MBS_1
3,e7,SBS_3
3,e8,SBS_2
3,e9,SBS_2
3,e10,SBS_2
3,e11,SBS_1
3,e12,SBS_3
3,e13,MBS_1
3,e14,SBS_3
3,e15,SBS_1
3,e16,MBS_1
3,e17,MBS_1
3,e18,SBS_2
3,e19,SBS_1
3,e20,SBS_1
3,m1,MBS_1
3,m2,MBS_1
3,m3,MBS_1
3,m4,SBS_1
3,m5,SBS_2
3,m6,MBS_1
3,m7,MBS_1
3,m8,MBS_1
3,m9,MBS_1
3,m10,MBS_1
3,m11,MBS_1
3,m12,MBS_1
3,m13,SBS_1
3,m14,MBS_1
3,m15,MBS_1
3,m16,SBS_3
3,m17,MBS_1
3,m18,MBS_1
3,m19,MBS_1
3,m20,SBS_1
3,m21,MBS_1
3,m22,MBS_1
3,m23,MBS_1
3,m24,SBS_3
3,m25,MBS_1
3,m26,MBS_1
3,m27,MBS_1
3,m28,MBS_1
3,m29,MBS_1
3,m30,SBS_2
3,m31,MBS_1
3,m32,MBS_1
3,m33,SBS_2
3,m34,SBS_3
3,m35,MBS_1
3,m36,MBS_1
3,m37,MBS_1
3,m38,MBS_1
3,m39,SBS_3
3,m40,MBS_1
4,U1,SBS_3
4,U2,SBS_2
4,U3,SBS_2
4,U4,MBS_1
4,U5,MBS_1
4,U6,SBS_2
4,U7,MBS_1
4,U8,SBS_3
4,U9,MBS_1
4,U10,SBS_2
4,e1,SBS_3
4,e2,SBS_1
4,e3,MBS_1
4,e4,SBS_2
4,e5,SBS_3
4,e6,MBS_1
4,e7,MBS_1
4,e8,MBS_1
4,e9,SBS_2
4,e10,MBS_1
4,e11,SBS_1
4,e12,MBS_1
4,e13,SBS_1
4,e14,SBS_3
4,e15,MBS_1
4,e16,MBS_1
4,e17,SBS_2
4,e18,SBS_2
4,e19,SBS_1
4,e20,MBS_1
4,m1,SBS_3
4,m2,MBS_1
4,m3,MBS_1
4,m4,MBS_1
4,m5,SBS_2
4,m6,MBS_1
4,m7,MBS_1
4,m8,SBS_1
4,m9,MBS_1
4,m10,SBS_3
4,m11,SBS_3
4,m12,MBS_1
4,m13,MBS_1
4,m14,MBS_1
