window,RB_MBS_1_U,RB_MBS_1_E,RB_MBS_1_M,P_MBS_1_U,P_MBS_1_E,P_MBS_1_M,RB_SBS_1_U,RB_SBS_1_E,RB_SBS_1_M,P_SBS_1_U,P_SBS_1_E,P_SBS_1_M,RB_SBS_2_U,RB_SBS_2_E,RB_SBS_2_M,P_SBS_2_U,P_SBS_2_E,P_SBS_2_M,RB_SBS_3_U,RB_SBS_3_E,RB_SBS_3_M,P_SBS_3_U,P_SBS_3_E,P_SBS_3_M,sum_U,sum_E,sum_M,objective
0,30,40,30,25.11,23.79,24.55,20,20,10,24.57,25.77,25.02,20,0,30,25.00,27.76,26.23,20,0,30,25.53,25.07,25.15,93.420362,14.263577,40.000000,147.683939
1,30,0,70,25.70,25.20,26.90,0,0,50,25.48,27.45,24.11,30,0,20,25.91,22.29,23.99,10,0,40,26.89,24.68,25.18,85.680536,0.000000,40.000000,125.680536
2,50,0,50,25.82,24.08,22.90,0,0,50,28.07,26.01,23.32,0,0,50,19.86,26.78,25.07,10,0,40,21.33,26.47,27.10,64.609443,0.000000,40.000000,104.609443
3,0,0,100,22.50,22.73,23.26,30,0,20,20.97,24.74,21.13,30,0,20,26.40,21.94,25.74,20,0,30,22.56,21.97,25.99,50.847049,0.000000,40.000000,90.847049
4,0,0,100,24.87,24.80,27.80,0,0,50,25.48,29.19,21.02,30,0,20,23.74,25.94,24.06,20,0,30,23.60,24.78,29.11,43.157393,0.000000,40.000000,83.157393
5,0,0,100,21.19,26.48,25.89,30,0,20,30.00,25.85,23.06,30,0,20,25.60,24.74,27.04,30,0,20,24.13,24.30,26.47,50.267562,0.000000,40.000000,90.267562
6,0,0,100,22.04,29.55,22.42,20,0,30,25.76,24.89,24.08,30,0,20,27.63,22.24,25.51,20,0,30,26.06,27.74,24.50,47.509279,0.000000,40.000000,87.509279
7,0,0,100,27.40,24.85,28.98,20,0,30,26.32,28.49,20.94,30,0,20,25.06,29.36,26.45,30,0,20,23.68,23.25,21.95,48.317049,0.000000,34.100000,82.417049
8,0,0,100,23.20,22.78,26.90,10,0,40,24.16,21.90,29.39,20,0,30,23.79,26.78,23.92,0,0,50,26.65,27.46,28.58,19.475769,0.000000,10.025000,29.500769
9,0,0,100,22.29,23.85,29.77,30,0,20,22.31,25.64,26.00,50,0,0,23.86,28.43,29.29,0,0,50,26.77,24.83,26.88,11.739612,0.000000,-19.375000,-7.635388
