Time,U1,U2,e1,e2,e3,e4,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,67.79489418,47.86094591,41.90321737,46.80595282,69.36606854,34.36745255,57.85419953,41.88576832,67.50797505,45.12644005,52.05487209,35.77803226,50.90176225,49.44629331,59.89018999,62.94283116
0.001,69.8863135,69.0683219,71.32471545,66.55055177,65.79972456,40.02915964,61.64939445,56.06619726,42.15177052,42.31099641,54.48998661,38.14948226,49.76358018,33.76230744,47.40510388,38.59164581
0.002,62.18117771,53.76639139,41.27108271,46.57797524,55.45051229,43.27013572,57.71578957,60.85852288,58.24469568,47.3061606,44.63346379,42.24058012,61.43921278,41.47585034,60.59723156,45.18509307
0.003,55.39502172,60.3790501,47.38454846,49.64604055,54.0297662,60.69523158,54.67319409,57.0378091,58.76990045,53.61874282,50.32989337,32.80160939,46.03892176,42.52772792,57.47140168,31.7081064
0.004,62.34385375,61.17236959,55.24407828,38.5304585,62.2016245,43.95571843,51.95375246,48.23199466,55.98653539,31.58724349,51.64472156,26.15250279,58.60946384,57.59221178,58.37090811,61.07920597
0.005,57.18183833,45.82305447,50.75078419,40.8331378,54.48596871,50.385008,54.92706498,45.9947423,55.21098564,39.69740929,59.35937498,39.39293401,52.8057845,40.25437845,57.82888811,63.75961393
0.006,63.26588482,40.09090859,59.82279431,47.1072612,56.75156687,42.35689633,58.95430455,45.3205412,47.51441757,46.8164169,47.34491249,34.56998104,46.30429312,41.66899493,60.08361171,44.31251519
0.007,72.89302946,64.8638085,49.53091807,56.33392795,47.88660407,41.11081104,73.61941511,60.48013125,73.97066782,53.52890019,52.86147503,26.64877444,59.79686019,41.01948187,53.95708268,58.39682619
0.008,60.46771046,73.60793908,45.18078691,63.75176168,58.25510763,48.56727936,60.54535666,57.42249687,50.63481451,54.7494061,55.79318075,30.18086787,51.53912579,50.99661963,46.40127137,56.2847645
0.009,64.18916989,67.37918308,48.57763791,54.0665001,39.98814766,29.05536408,65.68984999,41.40324313,52.7116245,49.74694157,46.24968457,31.1043838,56.74104352,62.79387188,47.15517975,53.68840796
0.01,57.7695734,58.20670736,38.69076409,59.55150701,65.38818224,41.55862434,47.13174679,49.97463087,59.66853895,54.88018958,52.94417732,38.30252512,49.18501302,31.3122476,73.01747724,45.42819045
0.011,62.29148491,73.98375477,43.32046757,39.86783164,60.98534554,49.33826997,64.56903274,40.86050874,62.56685824,41.40993501,44.1449369,35.73953852,54.77105548,59.83179968,53.46260026,46.33695804
0.012,44.23418224,61.40209732,45.91636095,40.75313809,62.23341344,41.6033836,63.72020071,38.63392332,53.24713352,49.26919488,44.49388221,12.37388606,52.3118933,35.03609393,50.26274862,45.21884446
0.013,47.32346255,65.36414363,52.44304676,54.8481441,72.30922573,37.85929029,54.64407979,62.83460137,54.79418248,61.6949409,44.13333367,42.1861542,58.10225062,30.88142983,51.91361274,50.9646002
0.014,51.55384825,49.9694654,48.37995847,54.00357614,70.96911878,44.20611409,53.83634618,60.43856221,62.52409331,53.864527,49.4299396,24.81670702,53.9157808,39.34055971,71.61433597,58.46438737
0.015,55.85803383,49.07838757,45.24703026,70.3515856,58.4596723,40.03989023,79.69995728,63.68463523,47.47554054,69.9281235,47.40948335,30.62551116,60.89398234,49.68976895,50.26348238,51.58083283
0.016,61.29968455,68.85899875,46.11224805,58.35465038,67.74641417,48.59579118,58.46056625,59.35415807,45.45828454,62.07607742,59.87286488,16.90842657,36.28825407,50.04281958,54.67632319,53.17298365
0.017,63.65836018,62.67772818,60.84038902,53.32290878,60.69791173,46.4726116,61.28105682,58.1661541,52.17157237,70.48467884,61.04585286,34.09612515,46.52187471,47.1480403,62.67948329,31.04610542
0.018,56.69219719,51.78308959,58.79753425,43.91009834,58.29336888,38.20379098,65.13261681,66.77972279,62.3886668,51.25233325,50.38006395,29.27226199,55.88639067,39.94107134,64.46359674,57.74633652
0.019,55.74463578,71.75849727,52.57693574,49.20226494,59.18644039,50.24877305,60.64713674,63.9628244,51.09137672,69.0368911,53.80129778,26.76062579,65.84130391,52.35015581,55.61056149,39.5985883
0.02,57.31105306,54.67150627,46.84178631,60.48536184,42.76556196,37.90016979,54.34891393,55.68376017,51.55993456,49.50414577,58.26092277,25.48498647,55.05768621,41.28287991,61.84272367,50.98041902
0.021,58.18392815,56.3605091,45.72750578,62.12706562,56.20623013,36.79201031,59.39801744,60.14275266,53.88234247,53.01240303,61.73231955,31.19645186,67.64178812,28.81296236,49.85473207,55.44002165
0.022,63.94005609,58.98168231,50.94808301,53.61689468,55.97132895,35.98071462,53.73571412,55.98743787,53.01860023,46.96441105,54.84986655,29.63197652,36.2066669,61.71826265,43.98454964,50.5090636
0.023,52.69585765,53.55317621,50.22416296,66.54116071,53.05183206,41.25253814,54.56195799,81.82340182,45.92783417,55.42702904,50.37195597,35.25983791,48.15474405,49.32776275,40.20422591,63.1273984
0.024,47.74736293,63.00896385,51.09705571,50.2399673,49.33699977,35.03413629,55.11122892,35.86748134,55.69618779,54.86008253,52.89882271,20.27320812,48.41367797,62.02390827,58.44094016,39.48455066
0.025,63.5918729,65.94504613,50.89083676,56.1475341,51.97850246,39.02552432,68.71617184,63.46406843,64.10458464,43.19753659,35.07464959,17.64962939,48.47255876,46.06686003,79.45043426,42.62984503
0.026,52.71869179,61.95368313,56.92091336,68.01479114,41.65017913,36.69442702,64.70102353,46.76284181,63.26375721,71.45782903,51.04338121,30.54881976,39.04232579,44.98468729,39.63464512,47.37486
0.027,69.42223851,65.45673821,47.53850732,61.98689041,58.4315284,31.16461906,77.36137568,52.40686961,54.84179355,40.75084968,60.22725321,20.2078482,50.17600738,44.32411383,54.54923456,47.50638724
0.028,34.49354957,65.67225307,46.14056656,61.78625347,49.95400457,47.48751149,54.75275136,54.66485731,61.29695837,58.12711406,75.59757901,31.69465253,50.30153954,27.97051977,56.16718983,39.89814574
0.029,64.38591847,65.52500421,48.45076037,56.28851052,56.01091454,48.79568597,51.52602058,62.05821302,39.74029547,58.77890409,63.16965815,21.03602644,39.3128698,49.02867096,70.53879975,41.69211156
0.03,60.96016439,57.66032261,42.61126975,64.5542759,65.54404932,39.86228132,62.75110803,51.1234296,52.23693861,46.58274341,49.476902,16.89757027,50.55455607,51.44601512,58.42549001,51.55303718
0.031,59.50120067,55.74324798,45.02523401,50.92097097,73.26106088,39.80996986,63.90185247,54.396919,59.12043615,70.54976751,63.04110468,34.0938833,55.53734779,43.79689026,52.90009577,35.21183749
0.032,47.05290202,56.66581154,38.83021053,54.11644095,59.24327933,32.54016091,58.94290827,57.87428947,55.39334577,46.78851989,40.90702331,28.6080523,52.71182739,34.15622672,52.08241104,52.54126278
0.033,67.13551335,58.0187097,33.23581562,59.23364714,63.93498157,51.15666385,72.3311199,46.79356093,58.0765092,49.4744839,56.26034318,23.42015557,46.29103276,48.06269767,62.41454351,63.4260148
0.034,55.30397594,40.72379891,53.0555726,57.27364099,62.25341611,27.01753777,62.63417286,40.56973724,51.34370239,58.38735031,50.67311943,21.42475961,37.49216791,48.81265012,62.8790872,56.61399022
0.035,57.55880728,61.13714068,48.1007752,57.1737792,64.53986956,51.3101833,43.41057611,46.48532541,48.39822803,43.23517096,35.49309729,38.39652026,50.26386685,39.90633543,63.14539657,53.76252106
0.036,55.58586431,64.81107722,50.5155208,56.51812589,54.91492359,52.80428309,50.49183101,56.76686993,53.1563359,46.89472796,46.74354397,19.34964125,57.10575054,51.99782845,52.27662492,48.79685859
0.037,55.75871646,54.70427084,45.5283567,59.42751942,59.42845707,47.13913745,53.87515199,59.95890679,48.99039797,51.61579415,57.40597737,26.12716414,56.26796711,28.49547255,54.77182125,42.73944753
0.038,59.16122295,59.41303948,44.53326455,59.60562311,56.10241101,42.11966402,73.6712108,68.13849587,63.28573863,39.14884932,58.95366538,28.82862054,59.48487199,30.66481008,67.42227854,53.6407089
0.039,54.44581717,66.30929409,58.59637635,83.26058437,67.15380967,45.60016912,62.89268816,51.68612941,41.64465168,42.27499159,42.06095988,33.7501242,57.11602387,31.03117283,52.84991442,50.53735502
0.04,58.26870561,51.28905009,56.36375169,71.14080335,60.64529291,40.51837693,58.91373528,61.43523839,67.90079068,54.51208752,53.54736383,13.82794674,37.29191637,40.65078474,55.45597435,51.44789548
0.041,65.29042303,45.14603912,47.41161179,42.37980158,65.61799583,36.12837151,63.06468333,63.71800874,55.39532642,56.74123744,47.55080747,27.60527733,40.72467613,29.53502043,51.87885368,45.51207457
0.042,58.17268118,63.74346413,47.72158437,46.64004374,59.42193305,50.289608,60.96022637,59.35114334,55.92774108,43.20392952,42.93578272,21.76799396,41.28386104,40.92056085,75.9442142,44.34381834
0.043,68.06884334,52.68711426,61.70001243,59.33392772,59.82020268,44.61402503,58.81251059,44.41277018,55.85604881,58.12243787,56.01767361,31.19156343,54.34692278,37.44915426,62.69947187,45.47229723
0.044,65.48441517,65.48578776,43.10445744,62.93056626,44.77636262,46.86386128,60.85341897,54.1400881,52.04462149,44.33576034,55.24976082,27.41004519,50.41963564,43.25401638,57.70600929,40.87617918
0.045,42.16122291,53.23353346,45.42702452,44.983069,66.9625288,35.47375078,51.1286792,46.03787074,49.04827428,52.37666865,47.40707769,25.82775891,46.32242942,57.33131407,45.91509734,52.14031726
0.046,58.25390092,64.48230083,54.76836217,48.64742117,53.02537717,38.8042348,53.52362096,42.4809701,44.76361171,44.84739837,47.45732055,25.43712191,37.45730682,30.70091067,60.69295217,46.89188526
0.047,42.6505697,35.44511313,47.99582344,65.18433592,59.94759219,34.39052374,43.9281282,48.70148983,58.16934648,56.82114893,61.90698136,29.50662238,48.10814724,43.17328135,53.78700425,51.95411983
0.048,73.38707272,64.90141801,53.46757415,63.26356622,66.99887664,37.71236572,57.10347696,52.06841587,60.05780214,50.89593345,64.96206025,26.21140753,61.610336,28.52025159,59.53085204,60.91271308
0.049,64.10272138,59.27284284,48.20249178,48.59604504,43.17788649,57.07165021,68.70299784,48.68269867,60.53952275,48.73018336,59.30585971,29.13665187,58.43026642,52.35825887,69.80020126,39.97352806
0.05,60.18312705,66.66158988,46.15011184,62.43616055,65.15400768,54.34915942,56.9958557,57.70633291,58.1625915,48.40930329,70.58359607,29.59510818,42.33349411,44.03592257,56.31691392,47.41388515
0.051,46.23432818,58.93069714,43.36430548,52.77948951,48.44142716,52.29451403,53.04914937,58.0611742,56.29555503,56.78043337,51.13840822,20.18126537,35.84023959,26.97942806,60.163772,57.62735004
0.052,67.3976013,59.58099798,42.6301994,60.32263624,62.64159816,56.46319132,53.50924979,46.637778,71.48169724,53.16383752,51.18855102,23.89041903,49.08149963,43.04940264,66.84745723,63.59141342
0.053,65.10328576,65.2667873,49.9432353,54.82770691,50.60584664,37.30653527,67.76677488,47.42533554,49.49290063,51.69218949,51.62551429,49.74171519,44.16954551,39.5475682,48.84947636,56.63667647
