Time,U1,U2,e1,e2,e3,e4,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,-0.610694767,-0.004843206,-0.159512261,0.390695603,-1.054713623,-0.435296265,-0.540830082,-0.125423176,0.139873537,0.590496504,-0.811725194,-0.471562916,-0.310395944,0.070776321,0.346457801,-1.512045512
0.001,0.679496998,-0.139793756,1.223843026,-0.331361255,0.496064722,-1.115147715,-0.943052718,0.016185528,-0.587864898,-1.416077309,-0.024586871,-0.505249124,-0.207715161,1.170613574,-0.124828469,-1.024666522
0.002,-0.092125162,-0.962863394,0.390876852,0.466791692,-0.214329454,1.07973557,0.12956124,0.095583118,-0.114790069,-0.619234159,-0.135933866,-0.752512521,-1.06501574,-0.184670585,-0.670309596,0.008816944
0.003,-0.754271793,0.129013165,0.069542378,0.164294148,1.430965549,0.707149787,0.298905132,0.046803432,0.711403947,-0.934645627,0.644264268,0.657460431,0.842943317,0.721601066,-1.75806822,0.056521669
0.004,0.606508499,0.584119698,-0.104087148,-0.898445952,-0.717673532,0.213417947,-1.507618549,-0.179566008,1.539922093,-0.988632773,-0.19307335,0.470038004,-0.554475084,0.073086361,-0.330724153,0.554844394
0.005,-0.200917996,-0.581449152,-0.203828028,1.714352916,-0.732551862,-0.61933663,-0.403057877,-1.201278314,0.190670383,-0.316073203,0.892051068,-0.464438997,-0.206891051,-0.348610584,0.432279261,1.275969783
0.006,0.424364838,-1.018950487,0.574399105,-0.531669868,-0.300561741,-0.694471862,-0.442916512,-0.453050037,-1.075528196,0.666188859,0.56489841,-0.69788744,0.125120298,0.740222561,0.16234952,0.425043323
0.007,-0.521179963,-0.056492768,0.079863975,-0.824956754,-0.306608074,0.275252772,-0.907399094,0.047204265,-0.358731579,-0.430331406,-0.729864549,0.636270471,0.716159066,-0.737588953,0.695471505,0.687707821
0.008,-0.292722603,-0.305472847,1.001156477,0.033567295,-1.551034679,0.292466712,-0.537464792,-0.817082652,0.611045916,0.127461438,0.336484248,1.203025271,0.105930771,-0.54991591,0.57165256,0.6533189
0.009,-0.929649905,0.411835449,-0.962736457,-0.026539972,-0.70041205,-1.127258119,0.065837836,0.679406023,0.11762544,1.431419309,-0.449810599,0.549424463,0.741458566,0.818067146,-0.535839803,-0.632940568
0.01,-0.673615374,-0.150734296,0.219562538,1.349522011,-0.198264174,0.392979382,-1.001102916,-0.962346258,0.722083386,0.246960166,-0.633883152,-0.122268552,1.087775632,-0.150802675,-0.176799519,0.021424645
0.011,-1.152967936,-0.699966137,0.626763454,0.283364556,0.686210212,-0.357472578,0.032834169,-0.043938997,-0.52953583,1.972178179,-0.797850014,0.223435759,-1.135473628,-1.089564704,0.29135301,-0.416902374
0.012,0.191186261,-0.663479204,-0.502981112,-0.384346563,0.382285324,0.452207022,0.785188228,-0.044354541,-2.172931035,0.286806309,0.422754136,0.151318361,0.21648627,-0.869312586,-0.32698141,0.431550958
0.013,-1.389289756,-0.688892035,-1.197374786,0.594850515,0.289335425,0.277592644,-0.35663813,-0.733158997,-0.612223805,-0.14465287,-0.273109141,-0.082649658,0.541114285,-0.064727863,-0.572570956,0.018069713
0.014,0.088379985,0.275167588,0.07724996,-0.22860191,1.681084042,-0.494023173,0.624811669,-0.283477083,0.839094656,0.258530393,1.35418182,-0.447573774,-0.753019292,0.458032126,0.115972807,0.476376917
0.015,0.407031181,-0.299409403,-1.81333953,0.644101148,0.068160062,-0.339873292,0.090750271,-1.175595408,0.777060291,0.097805401,-0.54076229,-0.506180546,0.343329324,0.303273168,0.047696891,0.277846699
0.016,-0.547630333,1.363131058,-0.56026677,0.372977791,-0.118482333,-0.711256757,-0.679278456,1.154038725,-0.029460242,-1.232026949,-0.894940097,0.585758253,-0.213569086,0.925858804,1.062345157,0.526723594
0.017,0.805611189,-0.635248549,-0.218230784,-0.095293335,-0.210413051,-1.434268497,-0.902236549,0.279530711,-0.486368646,0.457815017,0.147584217,-0.031104656,1.897185533,0.728772239,0.173376639,0.293780903
0.018,-0.639814574,-0.298290719,1.285479602,0.660791967,0.447531825,-0.317563833,0.117894261,-0.411982306,0.492405773,-0.558371093,-0.60452937,0.844868024,-0.684262854,0.94833896,0.226970827,0.61999349
0.019,0.025613294,1.930668505,1.929857128,-0.933312151,1.016212518,0.46748589,-0.353577982,0.038216141,-0.053350305,0.506530855,-0.772333505,-0.71203027,-0.006149447,0.280753984,1.189955026,-0.065139206
0.02,-0.226842914,0.123276776,0.324054455,0.422860967,-1.211694856,0.028748963,0.553194363,0.096920477,-0.035731009,-0.403591313,0.549310103,0.279077745,0.108732334,0.634094674,-0.256161562,0.126480454
0.021,0.396326714,0.170497909,1.241176494,-0.377739397,-1.070858881,-1.571181796,0.285900826,-1.159221943,-0.042503966,0.486315273,0.026703675,1.077556414,0.008118056,0.154968881,0.050508503,-0.166244715
0.022,0.19619206,-0.426751692,-0.216955797,-0.231467531,-0.313790591,-0.364857129,-0.848839621,0.787662214,-0.243688208,-0.837922861,1.572130108,0.053702944,-0.866294703,0.28558681,0.354787447,0.511281124
0.023,1.192567036,0.7582703,0.445309815,0.099865881,-0.66017914,-0.624621968,-0.59267599,0.810993396,-0.437985945,-0.240617637,0.302190036,-1.143003672,-0.939428519,0.185439328,-0.672586864,0.843482314
0.024,0.184638141,0.479700505,-0.8261487,1.066406885,0.311874098,-0.261814464,-0.774575317,0.473078079,-0.434600938,0.590545204,-0.823420573,0.372274077,-0.845455357,0.219023772,-0.179587334,0.037073007
0.025,0.057064357,-0.331508888,-0.732584855,0.563750169,1.93290494,0.689420665,0.17011224,-0.061807403,-0.710066221,0.234726727,0.492990131,0.613116595,-0.563185256,-0.604119068,0.306869517,0.352068113
0.026,-0.395316077,0.438318266,-0.79296214,-0.171363989,0.532423417,0.065892824,1.145426322,0.60712895,0.951262884,-0.29410547,0.155177071,-0.487498548,-0.665947488,-0.699310283,0.822184426,1.119575515
0.027,-0.186006213,0.916375589,0.286122385,0.505661449,-0.886941344,-0.10967182,-1.462046057,-0.325194549,-0.708232818,-0.319759064,-0.024636395,0.678450219,0.610883245,-0.106866747,0.195169466,-1.073404052
0.028,-0.700759527,-0.311433013,-1.072153239,0.473312623,0.306275806,-0.835890042,-1.100184953,1.068444126,0.646479251,-0.089438558,1.640936972,-0.373194668,0.615775565,-0.672395707,-0.157530669,-1.484555625
0.029,0.354492099,-0.487084272,1.027243692,0.361195666,0.074660859,-0.646800646,0.230303004,-0.357140817,-1.096861589,-0.267574692,-0.317096458,0.522596208,-0.611092037,-0.115782963,-0.954664983,0.407775166
0.03,0.777507708,-0.264519284,-0.161782754,1.311787279,0.451476203,0.620577234,-0.47660292,0.672419426,0.325707387,0.679634924,0.334807772,0.549980078,0.209424653,-0.091872709,-0.485621929,-0.951413595
0.031,0.88253654,-0.328524985,1.144205645,-0.093671561,-0.453272183,1.156734946,0.539980235,0.474212614,-0.281543833,0.669164038,-1.743157906,1.387659861,-1.094939199,0.306376921,-0.500287391,-0.443422424
0.032,-1.064284419,0.349977654,1.027095522,0.110686114,0.173040844,-0.368355177,0.135836315,-0.515697099,0.92184194,0.475063752,-1.293620184,-0.961260772,0.506757985,-0.855601426,-0.756576461,0.392140701
0.033,0.516223919,0.717106007,0.154593078,1.587030326,-0.788380295,-0.374051351,-0.797012711,0.418681651,0.702236319,-0.071937508,1.749311671,-0.712093671,0.267413145,0.733617526,0.03747193,-0.322857309
0.034,-0.867243397,0.400911933,0.481446234,0.553863965,0.232385979,-1.295671121,1.059985607,-0.979508172,-0.408078612,0.213772575,0.382974949,0.614866687,0.178149717,-0.108069729,0.331850291,0.102134932
0.035,1.374218224,0.20337058,0.851771436,0.02008815,-0.239172962,1.141808642,-0.140929225,-1.142908894,-0.471048958,0.07150943,-0.621104428,-0.365828033,0.192127817,1.890507805,-0.373266043,-1.310231237
0.036,0.059825397,-1.078040028,0.874975435,0.533275757,0.716627479,1.054636849,-0.963823022,-0.24149995,-0.663784053,-0.276068501,-0.930362488,-1.291810671,0.224559971,0.735007895,-0.140943931,-0.109491128
0.037,0.695786474,-1.046406603,-1.029933969,0.747454032,-0.620981954,-0.42275005,0.106700618,0.885414967,0.471663672,0.461614223,-0.406242789,0.550304574,1.308999561,-1.412747789,0.202347021,-0.270076079
0.038,-0.290638923,-0.031137144,-0.110014685,-0.323405857,-0.063500126,-0.655453715,0.664971458,-0.867594454,1.601735052,-0.644753311,0.211876445,-1.979179114,-1.07619415,0.557890422,-0.4344128,0.135380545
0.039,-0.273531984,1.275960143,-1.038674881,0.343853698,-0.669241645,1.792497792,-0.924543966,-0.587941096,0.59856636,0.179813232,1.957358568,-1.214072109,0.080176988,-0.033564667,-1.284979555,0.318547178
0.04,-0.540519098,1.398589329,0.831129846,-0.48235444,0.323973208,-0.39173216,1.01954566,-0.057665338,1.196762774,1.085893351,-0.081469653,-0.13350404,0.515998348,1.148730086,0.069763388,-0.848793701
0.041,0.797813746,-0.051335009,0.004594806,0.206909443,-0.086104555,0.020952958,-0.15937101,-0.559823856,0.678426197,1.345819594,0.650104117,0.12970592,-0.538805722,0.435356615,0.778581077,-0.69134969
0.042,0.473689033,0.407876299,-0.357054751,0.228121752,-0.015595052,-1.867572096,0.976036729,-0.147342286,0.167998801,-0.155391326,1.00499351,0.948308899,0.467852795,0.067187774,-0.12261514,0.450444051
0.043,-0.069118065,0.543408333,0.205091245,-0.698819485,-0.281518423,-0.852597707,0.496304977,1.5290365,-0.382026014,-1.853559884,0.277699492,0.376073159,1.42787117,-0.580068752,-0.655544548,0.261266687
0.044,-0.33398828,0.472495202,-0.329608064,0.421316924,0.067376535,0.391890323,0.723427472,-0.251101335,0.550419388,0.264807803,0.579025057,0.834127321,0.176011039,-0.579337993,-0.768182608,0.922798538
0.045,0.006158388,0.631300181,1.793746077,0.698184503,0.989450276,0.415788124,0.241907545,-0.008320028,0.491141066,-0.679053799,0.137878449,1.494129692,-0.168926319,-0.822645054,-0.128315462,-0.572595285
0.046,0.300507241,-0.785992853,-0.248257725,-0.146722704,-0.19146624,0.284256226,0.615606052,-0.436028024,-0.072628429,2.130149684,0.253781434,-0.804911524,0.617015857,0.115431585,1.544632112,-1.362594069
0.047,-0.194477033,-0.367168268,-0.299951656,-0.49983648,0.439148716,0.290807611,0.892197008,-0.719434494,0.650216829,-0.946463718,-1.561425557,0.696863221,0.12705302,0.873486949,0.264402559,-0.516302737
