Time,U1,U2,e1,e2,e3,e4,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,0,0,0.111705,0,0,0.111498167,0,0,0.012988684,0,0,0.012003391,0.013157476,0.013491191,0.013730272,0.012410493
0.001,0,0,0,0,0.108699901,0,0.013215391,0.012422323,0.012454478,0.013921916,0,0.012957912,0.012935435,0,0.012951075,0.013851472
0.002,0,0.011988129,0,0,0,0,0.012955034,0.013385739,0.013841783,0.013392672,0.012049918,0.012774992,0.013499992,0.012412749,0,0.012881159
0.003,0,0,0.105553895,0,0.100004917,0.101883921,0.013667692,0.012219681,0.012126094,0.013118115,0.013338313,0,0.01303162,0.013988013,0.013358932,0.013824704
0.004,0,0,0,0,0.111896361,0,0.012822925,0,0.01385092,0,0,0.013246644,0,0.013965119,0,0.012455075
0.005,0.011159659,0,0.110956973,0,0,0.113220222,0,0.013776215,0.012451654,0.013324167,0.012859441,0.013214423,0.013585979,0.013390419,0.013169317,0.013957596
0.006,0,0,0.103822383,0.119123401,0,0,0,0.012624679,0.013820929,0.012755029,0.012992781,0.013988973,0,0,0.013198985,0.012428777
0.007,0.010612725,0,0,0.117004024,0.113146652,0.105298861,0.013787176,0,0.013128214,0.013836073,0,0,0.013613658,0,0.013459928,0.012222164
0.008,0,0,0,0.11635435,0.110841256,0.109039939,0,0.012033237,0.012734269,0,0.012272573,0,0.013742894,0.013413334,0.013024874,0.013254927
0.009,0.010963218,0,0.108403039,0,0,0.119909226,0,0.012755833,0.012531968,0.012875908,0,0.012541304,0.013739945,0.012390008,0.013783156,0.012498146
0.01,0,0,0.108235463,0,0,0.104480367,0,0.013371822,0.012563577,0.013841398,0.012604687,0.013962874,0.012651687,0.013431905,0.013763338,0.012264929
0.011,0,0,0,0.104377316,0,0,0.01275498,0.013326616,0.013833049,0.01262582,0,0,0.013898426,0.013770032,0,0
0.012,0,0,0.108438996,0.106325728,0,0,0.01318444,0.013556891,0.013486863,0.012762842,0.012610455,0.01388229,0.013955082,0.012637893,0.012683746,0.012575756
0.013,0,0,0.115411558,0,0,0,0.013113827,0,0.012093779,0.012812007,0.013320136,0.013321812,0,0.012522747,0,0
0.014,0,0,0.116564218,0.109317367,0.119847718,0.118273212,0.01389138,0,0,0.012948528,0.013822377,0.012380095,0.012594088,0.013982118,0.012672841,0
0.015,0,0,0,0,0,0.116547977,0.01383523,0,0,0.012366872,0.012047472,0.012826401,0.012468742,0.013225133,0,0.013396287
0.016,0,0,0.102769687,0,0,0,0,0.013909292,0.012603148,0,0.012805699,0.013896142,0.012052542,0.012172066,0,0.01373959
0.017,0,0,0.100490857,0,0,0,0.012602339,0.013734545,0,0,0,0.012219597,0,0.013947319,0,0.012889915
0.018,0,0,0.115411867,0,0,0,0.01318069,0.01376588,0.013935689,0.013511314,0.012756309,0.013763238,0,0.012523504,0.012410904,0
0.019,0.010429742,0,0,0,0,0.104582437,0.012593566,0.013793735,0,0.012799608,0,0.012541424,0.01389357,0.013202492,0.013947189,0.012822568
0.02,0.011211521,0,0,0,0.102159342,0,0.013586827,0.012399173,0.012744758,0,0.012504135,0,0.013138013,0,0.013034201,0
0.021,0,0,0.106980347,0,0,0.111004734,0.012144669,0.013006639,0.0125735,0.01295756,0.012457772,0.01329141,0,0,0.013717553,0.013458556
