Time,U1_X,U1_Y,U2_X,U2_Y,e1_X,e1_Y,e2_X,e2_Y,e3_X,e3_Y,e4_X,e4_Y,m1_X,m1_Y,m2_X,m2_Y,m3_X,m3_Y,m4_X,m4_Y,m5_X,m5_Y,m6_X,m6_Y,m7_X,m7_Y,m8_X,m8_Y,m9_X,m9_Y,m10_X,m10_Y
0,408.0209467,453.0214764,457.0245401,317.0172564,140.0096457,273.9973617,483.0098298,78.99816279,479.0031069,242.9904949,71.00863085,210.9949494,396.9994418,479.9991703,18.00091522,424.9995971,339.9999569,378.9990009,197.0004752,328.0008799,353.9998316,16.00098573,24.00044534,48.99910464,348.0009515,158.9996923,17.99926436,220.0006774,383.0003863,398.0009224,244.9993936,222.9992048
0.001,408.0418935,453.0429527,457.0490802,317.0345128,140.0192914,273.9947234,483.0196596,78.99632557,479.0062139,242.9809898,71.01726171,210.9898988,396.9988835,479.9983406,18.00183045,424.9991941,339.9999137,378.9980019,197.0009504,328.0017597,353.9996633,16.00197145,24.00089067,48.99820927,348.001903,158.9993846,17.99852873,220.0013548,383.0007726,398.0018447,244.9987873,222.9984096
0.002,408.0628402,453.0644291,457.0736203,317.0517692,140.0289371,273.9920851,483.0294894,78.99448836,479.0093208,242.9714847,71.02589256,210.9848483,396.9983253,479.9975109,18.00274567,424.9987912,339.9998706,378.9970028,197.0014256,328.0026396,353.9994949,16.00295718,24.00133601,48.99731391,348.0028545,158.9990769,17.99779309,220.0020321,383.001159,398.0027671,244.9981809,222.9976144
0.003,408.083787,453.0859054,457.0981604,317.0690256,140.0385828,273.9894467,483.0393191,78.99265114,479.0124277,242.9619796,71.03452341,210.9797977,396.9977671,479.9966812,18.0036609,424.9983882,339.9998275,378.9960037,197.0019008,328.0035195,353.9993266,16.0039429,24.00178134,48.99641855,348.0038059,158.9987692,17.99705745,220.0027095,383.0015453,398.0036895,244.9975745,222.9968193
0.004,408.1047337,453.1073818,457.1227006,317.0862819,140.0482284,273.9868084,483.0491489,78.99081393,479.0155346,242.9524745,71.04315427,210.9747471,396.9972089,479.9958516,18.00457612,424.9979853,339.9997843,378.9950047,197.002376,328.0043994,353.9991582,16.00492863,24.00222668,48.99552318,348.0047574,158.9984616,17.99632182,220.0033869,383.0019316,398.0046118,244.9969682,222.9960241
0.005,408.1256804,453.1288582,457.1472407,317.1035383,140.0578741,273.9841701,483.0589787,78.98897671,479.0186416,242.9429694,71.05178512,210.9696965,396.9966506,479.9950219,18.00549134,424.9975823,339.9997412,378.9940056,197.0028512,328.0052792,353.9989899,16.00591436,24.00267201,48.99462782,348.0057089,158.9981539,17.99558618,220.0040643,383.0023179,398.0055342,244.9963618,222.9952289
0.006,408.1466272,453.1503345,457.1717808,317.1207947,140.0675198,273.9815318,483.0688085,78.9871395,479.0217485,242.9334643,71.06041597,210.9646459,396.9960924,479.9941922,18.00640657,424.9971794,339.999698,378.9930065,197.0033264,328.0061591,353.9988215,16.00690008,24.00311735,48.99373245,348.0066604,158.9978462,17.99485054,220.0047416,383.0027043,398.0064565,244.9957554,222.9944337
0.007,408.1675739,453.1718109,457.1963209,317.1380511,140.0771655,273.9788935,483.0786383,78.98530228,479.0248554,242.9239592,71.06904683,210.9595953,396.9955342,479.9933625,18.00732179,424.9967764,339.9996549,378.9920074,197.0038017,328.007039,353.9986531,16.00788581,24.00356269,48.99283709,348.0076119,158.9975385,17.99411491,220.005419,383.0030906,398.0073789,244.9951491,222.9936385
0.008,408.1885207,453.1932872,457.220861,317.1553075,140.0868112,273.9762552,483.0884681,78.98346507,479.0279623,242.9144541,71.07767768,210.9545448,396.9949759,479.9925328,18.00823702,424.9963735,339.9996118,378.9910084,197.0042769,328.0079189,353.9984848,16.00887154,24.00400802,48.99194173,348.0085634,158.9972308,17.99337927,220.0060964,383.0034769,398.0083013,244.9945427,222.9928433
0.009,408.2094674,453.2147636,457.2454011,317.1725639,140.0964569,273.9736168,483.0982978,78.98162786,479.0310693,242.904949,71.08630853,210.9494942,396.9944177,479.9917031,18.00915224,424.9959705,339.9995686,378.9900093,197.0047521,328.0087987,353.9983164,16.00985726,24.00445336,48.99104636,348.0095149,158.9969231,17.99264363,220.0067738,383.0038632,398.0092236,244.9939363,222.9920482
