Time,U1,U2,U3,U4,U5,U6,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30
0,0.934307274,0.231718503,-0.47445132,0.965696122,0.613518886,0.387513115,-0.100398598,0.441724616,-1.0075078,-0.349613616,0.780510719,0.402747584,0.849616286,-0.202644266,0.544846706,-0.516249127,0.452973524,0.212238424,-0.819085739,-0.786774113,1.143054681,0.173634528,0.129484921,0.007783507,-0.976604222,0.479731752,0.781557828,0.394353528,-0.028676425,0.996562226,-0.346559125,0.362403627,-0.947252186,0.669884687,0.044261518,0.35950025,0.338983793,0.880263082,1.3584199,-1.350290878,0.584306722,-0.543723814,0.4812326,0.819541552,0.77666563,-0.643665679,1.049620318,-0.694185884
0.001,0.183132551,0.818392144,0.282954041,-0.167647203,-0.469055938,-0.84455472,0.789695989,-0.036440669,-0.51364568,-0.351619771,0.45857858,0.637677175,0.816430606,-0.051461538,0.125703345,-0.26072153,1.013579429,-1.04822152,0.312393569,-0.749501417,-0.080052488,-0.310282331,-1.690116817,0.797776526,0.019371099,1.181562717,-0.103171566,0.097262944,0.030447203,-0.937922946,0.291523596,0.182865803,-0.384022201,0.976080187,-0.914179034,-0.224146628,0.043751342,-0.299385763,0.623250117,1.144059983,-0.038818287,0.021402886,0.090784687,1.532154982,-0.863733401,-0.153482633,-0.49232298,0.126524237
0.002,0.095815405,0.335893927,-0.423465633,8.32258E-05,-1.282497591,0.228445355,0.577708959,-0.065176775,-0.034426778,0.36585742,-1.42952538,-0.29342584,-0.340553231,-0.087174007,0.656887317,-0.713878757,-0.005101004,0.065610305,0.012776004,-0.566682813,0.217781521,1.106409482,-1.160496452,-0.122205239,-0.88110896,0.322303321,-0.26633121,-0.285736498,0.664177766,-0.192082141,0.070561158,-1.558196829,0.551846244,-0.558330439,-0.363610601,1.110817566,1.678702579,0.3164041,0.85801159,-0.035808659,-0.828758995,1.606442732,-0.161463836,0.263754651,0.357570878,1.026593618,0.377171788,0.018596728
0.003,-0.087597233,0.634381202,-0.539042744,1.201498219,-0.323561365,-0.596288201,-0.726864723,0.128830715,-0.838460336,0.8044103,-0.466766972,-0.226161883,0.189327081,0.736947865,-0.349214677,0.428171103,0.640363652,0.611375009,-0.629392707,-0.622407659,0.01086969,0.326932845,-0.081522476,0.17789317,0.677437345,0.089400099,-0.744575983,0.254179257,0.337967511,-0.255937331,1.14075244,-0.367048721,-0.181869099,-0.995267319,0.44777173,-0.171616298,0.37071202,-0.531222039,0.988133395,0.511018833,-0.171601449,0.133123286,1.018605939,-0.627221603,1.231938886,0.134387203,0.109355826,-0.360879794
0.004,1.114291518,0.568561348,-0.030849795,0.138879414,0.527314928,0.619980546,-0.285049758,0.717546432,0.107144142,0.297411307,-0.23313343,0.622319391,0.437641677,0.787275646,-0.328722305,-0.117001641,-0.352575972,-0.699956611,0.783509667,-0.894238095,-0.14537744,-0.091496488,0.731364047,0.794943221,0.011209591,-0.008592278,-0.293719636,-0.154606,0.481450384,-0.201863845,-0.113157444,-0.531518193,0.879946303,-0.208401006,-0.43522145,0.172737144,1.008642017,0.046774093,-0.349141535,1.760729284,-0.991377359,-0.363927354,0.169707451,-0.716386731,0.208923242,0.612813013,0.349798301,0.815142454
0.005,-0.285500476,0.938265587,0.372494945,0.019010277,0.071950852,-0.082300527,0.501552462,0.548403828,0.523526671,0.651627557,-0.236170833,-1.284926295,1.685073065,0.562978682,-0.094725038,0.670668452,0.256034115,0.648125193,-0.251693239,1.339244276,-0.654523585,-0.264405026,-0.374733852,-0.348741078,0.087355596,-0.30123974,1.277360209,0.453984471,-0.262979846,1.007429846,0.834162669,0.201520532,0.731659911,1.025824084,0.227952293,-1.51078203,0.2255057,0.139911192,0.881951125,0.660314945,0.3753701,-1.615852112,-0.096242309,1.557089116,0.111773125,-0.280231823,0.449818183,1.414658081
0.006,-0.018300149,0.586430504,-0.290689573,-2.072061895,-0.365063404,-0.816412613,0.393379894,-0.852647986,0.401148717,-0.617619809,-0.73458179,0.823115278,-1.783479583,-0.770128462,-0.241211986,-0.048531465,0.170385752,1.067682278,-0.924673163,0.532849983,0.075080303,-0.628587173,-0.287240784,0.433181653,-1.247279635,0.476267706,-0.477691666,0.510301158,-0.925137158,-0.183060317,0.483166695,0.370196163,-0.146543003,0.527295995,-0.060717794,1.877530184,1.227557767,0.336696385,1.150792602,-1.293596118,0.217933435,-0.434998151,-1.290035818,-0.544507674,0.506215916,0.453031712,-0.206444151,0.222874145
0.007,-1.154313742,0.108318852,-0.092666157,-0.11948376,-1.243076447,0.76936893,-0.100458592,-0.826708003,0.443487902,0.271758282,-1.236200205,1.3964634,-0.239422012,-0.366973397,1.090420719,-0.004436656,0.20857632,-1.075171924,-0.50567845,-0.093097437,-0.409120489,-1.373561652,-0.341130366,0.217145331,0.698358584,0.083674168,-0.982551485,0.687126374,-0.365992301,-0.06170075,0.733383547,-0.417786384,-0.280563256,-1.126751349,-0.402260731,-1.239070838,-1.078114071,0.157915002,0.765095724,0.457015416,-0.670934801,0.93424827,-0.245007293,0.439658191,1.160777307,0.829791861,-1.323868388,-0.298764876
0.008,1.029864243,0.313811616,0.535148251,0.826905651,-0.130278388,-0.527305179,-0.636262106,0.279171011,-0.344041179,0.028151796,-0.249363131,-0.668196695,-0.078388177,0.34419568,0.564848268,0.790991211,0.387346397,1.791134135,-0.813359224,-0.793752988,0.586777203,0.258889824,-0.648152884,-0.29318621,-0.193825439,0.374942534,0.540508161,-1.113607676,0.319390724,0.549886966,-1.336169169,0.213682714,0.283989438,-0.303941861,-0.002595607,0.17150783,-0.33817822,-0.27217632,1.279615229,0.071990051,-0.330372297,-1.207409546,-0.291398247,0.163711946,-0.610828203,0.672431796,-0.798347927,-1.667498224
0.009,-0.668092666,-0.588770462,-0.283073201,-0.558832378,-1.417198952,0.062107672,0.390111192,0.234359083,-0.614550019,-0.452705672,0.226530849,1.640509749,0.195609744,-0.44296297,-0.100675099,-0.108186853,0.189886367,-0.998972555,-0.076308572,0.251974057,0.9919617,0.706174823,-1.158488358,0.280970453,-0.916140646,0.813530383,-0.056978406,1.086222014,1.117588617,-0.30849247,-0.762203946,0.57817473,0.424841899,-0.816716215,-0.843121339,-0.24674253,-0.215369397,-0.472328085,0.524456162,0.875942076,-0.869600926,0.126464511,-1.329569819,0.025608045,-0.512011306,-1.194549532,0.892141906,1.682177144
