Time,U1,U2,U3,U4,U5,U6,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30
0,47.8313264,73.82297132,54.93837154,61.13595481,53.9644736,70.59337235,39.23970675,55.63690162,53.2729399,68.23872359,55.75192811,54.15790741,61.97400122,58.5059284,50.49530031,62.28329223,63.28648414,55.34322849,61.04360593,65.34524133,66.15398911,37.42419521,67.96920154,26.1605109,70.66156217,53.2072547,56.84625338,63.73623851,64.44196525,81.00199943,46.19153433,38.49572926,74.00500846,53.85637088,51.47402572,59.05237269,49.80412777,50.10139989,58.94266168,47.88470355,42.75295909,47.94730724,64.72930844,69.59760607,57.93917873,54.37192547,64.73596555,58.24522569
0.001,38.8354016,66.88905974,64.47963747,69.26990251,73.27522879,69.70774467,47.60459288,57.07813912,68.09775441,69.12381889,43.44390503,52.53210237,58.21722672,61.98913921,53.21638333,66.7833807,60.49429761,58.8767819,52.65484521,61.61885857,86.27266052,49.97192771,62.90206291,45.08145411,71.41840625,73.34649645,77.49847448,65.56430179,75.95644262,78.31484479,46.22808395,53.27772562,65.29228566,49.72340827,72.16062792,73.56477747,57.82789787,62.22326165,51.50371967,55.20200327,50.69739541,47.94709339,48.40167244,68.9615468,46.76899351,34.80604811,61.7905522,64.71741837
0.002,23.09142825,69.62468846,79.925392,57.4276134,82.65121067,62.03113498,39.31816399,41.38280026,57.91577562,58.00793312,58.21132052,45.7694386,80.28637247,46.28391088,48.36867118,68.5089679,49.91646155,76.78287044,73.80801936,71.05824216,64.18076177,39.89879501,54.28363257,35.73207171,79.64510122,64.2128809,64.36239204,66.03507066,60.95062156,77.75746809,40.66609806,43.93260719,63.07258119,63.33919032,58.18873282,59.41067546,56.10689219,59.67048633,52.21510938,60.49625264,48.84439104,58.08748136,65.79877384,65.08699245,61.38185223,44.23608932,63.01646423,76.16124876
0.003,36.25941333,55.45285179,61.27637285,60.833809,77.01974165,68.88658214,44.83059061,55.63483537,57.35750101,63.73507907,66.12538221,64.80982538,72.60690886,82.13396499,60.58700915,72.96532478,66.0966448,53.25449038,65.57698454,54.28353943,75.31596279,30.22495768,76.66407478,37.80410339,77.29151224,84.58068597,68.29351235,79.48405821,77.64305159,71.69882829,51.05985981,42.19670653,71.40228866,61.28109994,62.92396645,67.5912704,56.43259514,55.74726238,54.4052049,79.71022059,39.78140194,45.74311473,43.2204082,75.33445591,64.74685348,55.97563342,55.30266695,56.91799713
0.004,39.15941318,67.17095237,69.12462562,67.71522587,72.07454786,73.68700479,41.97106295,50.28618702,61.4942566,64.61539596,42.539053,48.65681882,66.41120522,71.64307734,60.89235495,63.15608275,37.41263996,61.88265968,69.14437672,61.18580383,62.5969105,32.95721584,57.58177718,53.00443466,81.69138728,58.10561345,63.25194151,61.20039956,65.98007888,70.2431441,59.1063063,50.14944671,75.68626477,57.02977284,55.02324435,57.79836301,47.72635757,57.80842416,51.51024959,75.81409061,55.1777429,59.33739038,69.1090049,79.21005733,79.8243356,47.97334359,64.58248168,63.92079355
0.005,45.99742808,66.30059224,66.76280573,71.85715849,72.11646513,69.85502102,41.21848403,54.57098297,66.58563829,71.08497404,47.4199383,51.00983453,78.97792577,56.44343028,50.49860559,70.36383873,68.90241003,72.84235037,56.26794477,65.42193236,76.00685736,54.12910381,63.67057293,36.67143203,65.30950331,64.28698425,55.30279603,75.46669214,66.44037524,71.74976753,49.2884699,56.21454432,68.00688503,51.90765562,58.87715682,73.44543872,62.55733381,61.3242809,48.0003146,77.01213539,52.68534256,41.93743808,70.85275099,76.51183228,65.15149257,52.56732877,73.67998548,68.06154676
0.006,55.02753546,65.33186181,69.11592274,74.10829731,63.75736575,54.07718584,26.93606025,31.04479407,58.82954434,65.38421578,55.40700516,51.35354758,67.12888624,61.94092318,53.86392147,55.73265393,58.81679161,73.82414266,69.06933041,66.16383528,69.6115661,32.7146735,60.00524562,46.11270091,60.33666211,46.05332017,78.23532056,75.91937349,69.07075907,60.89807967,70.21860953,34.5861941,82.58267055,59.53598371,76.68290707,65.02994085,62.99471613,66.02758623,41.23170287,59.48607223,41.7690443,53.2144466,55.84649039,78.42264549,62.84221679,51.79380791,62.59011723,74.88503536
0.007,33.90516025,58.72665358,63.49922584,78.46566498,61.87400094,71.2626484,54.85751375,46.77205318,54.24835129,71.8861774,50.1087085,48.21058327,72.80674199,60.91873956,63.07525956,67.49923807,72.29671039,67.81254647,76.68696582,80.97431628,57.20855533,42.80545014,72.15046706,40.78004964,70.26378413,58.14438627,57.05215141,76.05450424,68.20436209,53.06101538,65.05136474,58.90642251,68.8915595,61.8500811,66.967582,63.90182729,57.74975825,68.29982643,41.6185552,72.35122726,40.73439528,57.54589038,57.9776099,81.67659967,49.18915604,42.47317045,63.50823484,67.42461824
0.008,40.15213054,56.69592516,57.36287596,79.6406877,66.44776812,63.3139822,45.14944144,52.584647,56.98559392,53.85361956,37.56328159,56.19286635,64.1772974,72.81545689,35.7843493,73.40762504,45.66251317,75.11686129,56.88148119,54.97769233,84.18065216,33.17112657,57.05761366,46.22695236,65.82506544,63.35352539,63.44141298,62.4949066,61.63585034,72.57116187,63.79766136,62.24532484,65.09099239,64.43295846,64.15132588,72.07852993,59.13107907,43.33940561,26.53206687,59.34788829,47.72975175,57.43204961,53.71092385,59.95991685,62.42437024,45.64296099,56.9342225,70.58155042
0.009,54.76554225,67.10532666,62.92704557,60.28603841,68.61467157,65.68501198,42.14800733,52.28183972,52.20941182,70.75070793,62.93006906,57.06932716,75.71347822,75.09965152,47.97132987,77.62035605,56.88203897,45.63452674,47.75449698,56.19670753,79.61140787,49.35005607,59.80654218,46.64990625,69.88244644,56.4233997,76.30541307,69.0340558,74.0948099,82.0088882,58.77758208,46.41851434,67.1650688,74.2419595,65.14557429,72.79001978,49.99598974,68.06566685,47.24561919,59.45625257,37.10039152,51.83534613,52.75421436,76.96591112,65.24003279,34.67318622,69.03019039,81.11060443
