Time,U1,U2,U3,U4,U5,U6,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30
0,0,0,0,0,0,0,0.123545044,0,0.106080645,0.159093141,0.210881633,0,0.14944819,0,0.114032921,0,0,0,0.013575211,0.012937688,0,0.01371935,0.012790822,0,0.012771793,0.013801525,0.012749589,0.013584206,0,0,0,0.01281959,0.013803674,0.012936533,0,0.01296911,0.013887482,0.013973731,0.013387381,0.013749476,0.01370969,0.012658342,0.013014172,0.012676902,0,0.012271567,0,0.013193289
0.001,0,0,0,0,0,0.010518816,0,0.144892393,0.149494758,0.140488526,0.175212239,0.215099086,0,0.159480747,0,0,0,0.172760706,0.012016489,0.012473672,0.013420819,0.013782591,0.013367556,0.013924378,0,0.012606794,0,0.012175253,0,0.013772989,0,0,0,0.012361902,0,0.013722054,0.013603762,0.012783992,0.012865009,0.012806683,0.012129082,0.013469826,0.012988065,0.013936107,0.013775969,0.013204337,0.012549366,0.01237482
0.002,0,0,0,0,0.011242702,0.011660962,0,0,0,0.190578039,0,0,0,0.204056359,0.156293777,0,0,0,0.012295046,0.012955795,0.012990052,0.013508833,0.012398333,0,0,0.012835169,0,0,0.013662715,0,0.012052237,0.013191851,0.013791373,0,0.01230446,0.013780445,0.012265951,0.013745177,0,0,0.013723973,0.012707565,0.012206194,0.013947942,0.012467214,0,0,0.012338403
0.003,0,0,0,0,0,0.010140353,0.168033966,0.169121212,0,0.184778936,0,0,0.151142565,0.159653261,0,0.148130228,0.149885979,0.205161338,0.013371445,0.01350543,0,0.013599631,0,0.01231404,0.013434528,0.013326046,0.012442794,0.013819803,0.013499251,0.013080468,0,0.013778607,0.013729821,0,0.013437201,0,0,0.012299857,0.013247482,0.012531324,0.013627218,0.013787997,0,0.012831936,0,0,0.013764439,0.012286147
0.004,0,0,0,0,0,0,0.209870018,0.103077611,0,0.153107391,0,0,0.195241013,0.215415855,0.211834952,0,0,0,0,0.012691423,0.01271091,0.012267124,0.013623465,0.013065878,0,0,0.013267282,0.012145973,0.012645177,0,0,0.013067746,0.012746619,0,0.013406581,0.013925021,0.013039853,0.01287388,0.012937198,0.012896415,0.013244377,0.01304568,0.013982619,0.013574898,0,0.012788043,0.012942019,0.01247426
0.005,0,0,0,0,0,0,0.137931689,0.105220591,0.134158951,0,0.181215061,0.1610699,0,0.108739963,0.205330799,0,0,0,0.013091406,0.013810338,0.013134142,0.012549225,0,0,0.013506531,0.013962293,0.012435016,0,0,0.013625633,0,0.012232298,0.012948953,0.012207756,0.01329466,0,0.012294057,0,0.013167795,0.012494085,0.013714642,0,0.012343915,0.013399764,0,0.013876466,0.01235779,0.01296844
0.006,0,0,0,0,0,0,0,0,0.168994072,0.19792321,0,0.197796787,0.126315135,0,0,0.192875899,0,0.106507528,0.012965556,0.01330705,0.013002347,0.013873986,0.012163612,0.012338338,0,0.012599884,0,0.013690937,0.012857262,0.013812033,0.012062867,0.01202707,0.013441256,0.012344438,0,0.012747965,0.012010833,0.013753784,0.012205002,0.012120844,0.013251887,0.013232565,0.013138331,0.013679959,0.013309331,0.012728081,0.01309142,0.013057033
0.007,0,0,0,0,0,0,0,0,0.196785272,0,0.21089304,0.175872531,0.178121429,0,0,0,0.188365285,0.118029132,0,0.013052342,0.013552026,0,0.013325965,0.012169632,0.013266406,0,0.013333414,0,0,0.013694197,0.012207752,0.012896365,0.012291838,0.012501526,0.013741665,0,0,0.012681538,0.012900232,0.012563528,0.012404714,0.012229202,0.013562536,0.012304508,0.01307967,0.013362152,0.013034678,0.013251715
0.008,0,0,0,0.010686658,0,0,0.126453378,0.194190492,0,0.16012726,0,0,0.211697889,0,0,0,0.112035586,0,0,0,0.013311891,0.013903326,0.013021592,0.01242394,0.013568665,0,0.013800281,0.013851932,0.012286508,0.013610759,0.013667579,0.013757629,0,0.013512782,0.012915087,0.013914434,0,0.012875509,0.012511646,0,0.013430406,0.013623133,0,0.013124234,0.012710403,0,0.012439587,0.012139126
0.009,0.010109584,0,0,0.020314539,0,0,0,0.129115428,0,0.119646485,0.138636241,0.163989132,0,0.181172308,0,0.174828624,0.11007415,0.147990241,0.012695871,0.013188439,0,0,0.012336718,0.012415319,0.012250315,0,0,0.013382517,0,0.012249768,0.012923777,0,0.013475702,0.012270712,0,0,0,0.012730269,0.012300019,0,0,0.013274767,0.013716763,0.013879333,0.012201265,0,0.01319703,0.01283348
0.01,0,0,0,0.010604462,0,0,0,0,0,0.170082737,0.114894767,0.214129931,0.195273404,0,0.128227369,0.216173287,0,0,0.013646188,0,0.013583771,0.013260348,0.012103916,0.012791855,0,0.012777278,0.013341149,0.012393844,0.012920408,0,0.013387791,0,0.012937314,0.012221483,0.013537776,0.012710887,0.01257002,0.012019337,0.012624727,0.013661774,0.01341362,0.013863086,0,0,0.013307027,0.013495961,0,0.013922363
0.011,0,0,0,0,0,0,0,0.207182069,0.203211801,0.209094429,0.189803087,0,0,0,0,0,0.210788255,0,0,0.012258453,0.012032705,0.012036108,0.012795471,0.013061152,0.01333706,0.013041953,0.013865851,0.01308317,0.012527703,0.013495228,0,0,0.013333615,0,0,0,0.01220716,0.012301541,0,0,0,0.012366828,0.013339308,0,0.012648209,0.013191819,0.012644788,0.013307154
0.012,0,0,0,0.010046442,0,0,0.100289941,0,0,0.134755639,0.13811924,0,0,0.193748799,0,0,0.127518507,0,0.013959206,0,0.013455131,0.012744323,0.0121447,0,0.013193238,0.012235835,0.013104234,0.012388155,0,0.013558563,0,0.013674445,0,0,0.013123921,0.013913679,0,0.012763861,0.013800336,0,0,0,0.01343574,0.012357606,0.013488816,0.01317722,0.012937965,0.013935991
0.013,0,0.011299502,0,0,0,0,0,0.210897625,0.186146775,0,0,0.193799341,0,0,0.115561781,0,0,0,0,0.013701432,0.013255392,0.012018285,0.013169534,0,0.012921715,0,0.013382785,0.012529347,0.012118863,0,0.012613496,0.013508719,0,0.013186082,0.012016816,0,0.013154881,0.013694783,0.012612087,0,0.013595192,0,0.0134797,0.013415019,0.012804538,0.013530124,0.013629135,0.01272339
0.014,0,0,0,0,0.010240378,0,0,0.219496549,0,0.139575153,0,0,0,0.197189115,0,0,0,0.152156213,0,0.012376763,0.013663997,0.013093435,0,0.012993042,0.012946672,0.013730496,0.012967272,0.013925734,0.012311555,0.013733493,0,0,0.013774758,0.012469481,0.013981946,0.013296741,0,0,0,0.012412871,0.013309896,0,0.013808699,0.012096534,0.012402327,0,0,0.012167933
0.015,0,0,0,0,0,0,0,0.118010785,0.121064459,0.187246846,0.181931131,0.183140504,0,0.134810081,0.115340449,0.20826411,0,0,0.013139944,0.012633455,0.012327837,0,0,0.012733849,0.012303106,0.013676139,0.012344566,0.012509114,0.013273454,0.012287727,0.013440358,0.012402137,0.01389642,0.013040343,0.012703421,0.012382459,0.013062712,0.013606563,0.012304768,0.013772369,0,0,0,0.013977323,0.013367923,0.013941492,0.013398216,0
