Time,U1_X,U1_Y,U2_X,U2_Y,U3_X,U3_Y,U4_X,U4_Y,U5_X,U5_Y,U6_X,U6_Y,e1_X,e1_Y,e2_X,e2_Y,e3_X,e3_Y,e4_X,e4_Y,e5_X,e5_Y,e6_X,e6_Y,e7_X,e7_Y,e8_X,e8_Y,e9_X,e9_Y,e10_X,e10_Y,e11_X,e11_Y,e12_X,e12_Y,m1_X,m1_Y,m2_X,m2_Y,m3_X,m3_Y,m4_X,m4_Y,m5_X,m5_Y,m6_X,m6_Y,m7_X,m7_Y,m8_X,m8_Y,m9_X,m9_Y,m10_X,m10_Y,m11_X,m11_Y,m12_X,m12_Y,m13_X,m13_Y,m14_X,m14_Y,m15_X,m15_Y,m16_X,m16_Y,m17_X,m17_Y,m18_X,m18_Y,m19_X,m19_Y,m20_X,m20_Y,m21_X,m21_Y,m22_X,m22_Y,m23_X,m23_Y,m24_X,m24_Y,m25_X,m25_Y,m26_X,m26_Y,m27_X,m27_Y,m28_X,m28_Y,m29_X,m29_Y,m30_X,m30_Y
0,599.2650255,-402.8801163,-515.0375859,-565.0239406,-403.9704089,-122.5778481,431.0012707,657.1032969,-779.3680745,71.78877133,-265.6328344,142.2265352,689.1041058,-179.2860946,88.20024832,-122.7957428,32.03990796,-658.3138079,-280.3671097,-415.2223557,658.8096535,133.5655329,140.8728867,98.50893562,-272.8789199,608.4558131,-137.6224923,55.75231957,196.1279227,-671.9030457,-527.4675443,187.6982008,19.83680664,-673.4884098,-370.3823901,-545.7228436,-275.9527776,2.836368426,-401.3428842,-238.2648794,-22.19557637,693.0499743,517.7982798,-423.4327102,381.1499739,452.7072094,219.0678903,-341.7804075,29.36252765,721.3040714,155.8450295,446.8812243,-619.0862103,104.8892921,-627.035874,-372.2334707,-171.0723502,746.8177075,-507.6291019,474.0251552,207.7941701,73.26590059,646.3297831,-284.4737417,-592.2377614,115.3274163,243.4899468,395.5635363,-439.1397469,-79.58221056,-50.53223938,618.6388068,-7.714158309,-664.1064541,30.5064091,229.5971586,143.1998943,-277.5168044,704.0516735,376.6117461,253.8117186,-61.95069202,289.0084625,-642.1978992,-187.8796203,136.8958945,-650.1493557,298.9117323,-29.54883038,339.8668374,201.0501528,-216.0152039,363.7227268,468.63205,-373.9201271,508.2319189
0.001,599.2859723,-402.8586399,-515.0130458,-565.0066842,-403.9414719,-122.585763,431.03076,657.0977852,-779.3587537,71.76025602,-265.6069419,142.2113834,689.0985235,-179.2943915,88.20940057,-122.7997722,32.0394766,-658.3237986,-280.3623576,-415.213557,658.8079699,133.5753901,140.87734,98.49998198,-272.8694051,608.4527362,-137.6298487,55.75909333,196.1317859,-671.8938221,-527.473608,187.690249,19.83517871,-673.4785432,-370.3771712,-545.7143135,-275.9518094,2.836118178,-401.3427204,-238.2638929,-22.19657567,693.0499368,517.7992473,-423.4329632,381.1505653,452.7080158,219.0678634,-341.7794079,29.3634305,721.3036414,155.8450227,446.8822243,-619.0868065,104.8900949,-627.0368256,-372.2337781,-171.072305,746.8167085,-507.6300125,474.0247419,207.7931887,73.26570829,646.330468,-284.4730131,-592.2367642,115.327491,243.4902215,395.5625748,-439.1392414,-79.58134775,-50.53280624,618.637983,-7.715110411,-664.1061483,30.50726448,229.5966406,143.1989232,-277.517043,704.0507377,376.6120985,253.8127181,-61.95066291,289.0091411,-642.1986337,-187.8796823,136.8968926,-650.1485092,298.9111999,-29.54822016,339.8676296,201.0492756,-216.015684,363.7233298,468.6312523,-373.9211237,508.2318358
0.002,599.306919,-402.8371635,-514.9885057,-564.9894278,-403.9125348,-122.593678,431.0602494,657.0922736,-779.3494329,71.73174071,-265.5810493,142.1962317,689.0929412,-179.3026883,88.21855281,-122.8038017,32.03904523,-658.3337893,-280.3576055,-415.2047582,658.8062864,133.5852474,140.8817934,98.49102834,-272.8598902,608.4496593,-137.6372051,55.76586709,196.1356492,-671.8845984,-527.4796717,187.6822971,19.83355079,-673.4686766,-370.3719522,-545.7057834,-275.9508412,2.83586793,-401.3425566,-238.2629064,-22.19757497,693.0498994,517.8002148,-423.4332162,381.1511567,452.7088222,219.0678365,-341.7784082,29.36433334,721.3032115,155.8450159,446.8832243,-619.0874026,104.8908978,-627.0377772,-372.2340855,-171.0722597,746.8157096,-507.6309231,474.0243285,207.7922074,73.26551599,646.331153,-284.4722846,-592.235767,115.3275657,243.4904962,395.5616132,-439.1387359,-79.58048494,-50.5333731,618.6371592,-7.716062514,-664.1058425,30.50811985,229.5961226,143.197952,-277.5172816,704.0498019,376.612451,253.8137177,-61.95063379,289.0098196,-642.1993683,-187.8797443,136.8978907,-650.1476627,298.9106675,-29.54760993,339.8684219,201.0483984,-216.0161642,363.7239329,468.6304546,-373.9221202,508.2317526
0.003,599.3278658,-402.8156872,-514.9639655,-564.9721714,-403.8835977,-122.6015929,431.0897387,657.086762,-779.3401121,71.70322539,-265.5551567,142.1810799,689.0873589,-179.3109852,88.22770505,-122.8078311,32.03861386,-658.34378,-280.3528535,-415.1959595,658.8046028,133.5951047,140.8862467,98.48207471,-272.8503753,608.4465824,-137.6445614,55.77264086,196.1395124,-671.8753748,-527.4857353,187.6743453,19.83192286,-673.45881,-370.3667332,-545.6972534,-275.949873,2.835617682,-401.3423928,-238.2619199,-22.19857427,693.049862,517.8011822,-423.4334692,381.151748,452.7096286,219.0678096,-341.7774086,29.36523619,721.3027815,155.845009,446.8842242,-619.0879988,104.8917006,-627.0387288,-372.2343928,-171.0722145,746.8147106,-507.6318336,474.0239152,207.7912261,73.26532368,646.331838,-284.471556,-592.2347698,115.3276404,243.4907709,395.5606517,-439.1382304,-79.57962213,-50.53393996,618.6363354,-7.717014617,-664.1055367,30.50897523,229.5956046,143.1969809,-277.5175201,704.048866,376.6128034,253.8147173,-61.95060468,289.0104982,-642.2001028,-187.8798063,136.8988888,-650.1468162,298.9101351,-29.5469997,339.8692141,201.0475212,-216.0166443,363.724536,468.629657,-373.9231167,508.2316694
0.004,599.3488125,-402.7942108,-514.9394254,-564.9549151,-403.8546607,-122.6095079,431.1192281,657.0812503,-779.3307914,71.67471008,-265.5292642,142.1659282,689.0817766,-179.3192821,88.23685729,-122.8118606,32.0381825,-658.3537707,-280.3481014,-415.1871608,658.8029192,133.6049619,140.8907001,98.47312107,-272.8408605,608.4435055,-137.6519178,55.77941462,196.1433756,-671.8661512,-527.491799,187.6663934,19.83029494,-673.4489433,-370.3615142,-545.6887233,-275.9489048,2.835367435,-401.342229,-238.2609335,-22.19957357,693.0498246,517.8021497,-423.4337222,381.1523394,452.710435,219.0677827,-341.776409,29.36613904,721.3023515,155.8450022,446.8852242,-619.088595,104.8925035,-627.0396804,-372.2347002,-171.0721693,746.8137116,-507.6327442,474.0235018,207.7902447,73.26513138,646.332523,-284.4708274,-592.2337726,115.3277152,243.4910455,395.5596902,-439.1377248,-79.57875932,-50.53450682,618.6355115,-7.717966719,-664.1052309,30.50983061,229.5950866,143.1960098,-277.5177587,704.0479302,376.6131558,253.8157169,-61.95057557,289.0111767,-642.2008374,-187.8798682,136.8998869,-650.1459696,298.9096028,-29.54638947,339.8700063,201.046644,-216.0171244,363.7251391,468.6288593,-373.9241133,508.2315863
0.005,599.3697592,-402.7727345,-514.9148853,-564.9376587,-403.8257236,-122.6174228,431.1487174,657.0757387,-779.3214706,71.64619476,-265.5033716,142.1507765,689.0761944,-179.327579,88.24600953,-122.81589,32.03775113,-658.3637614,-280.3433494,-415.178362,658.8012357,133.6148192,140.8951534,98.46416743,-272.8313456,608.4404286,-137.6592742,55.78618838,196.1472388,-671.8569275,-527.4978627,187.6584416,19.82866701,-673.4390767,-370.3562952,-545.6801932,-275.9479367,2.835117187,-401.3420652,-238.259947,-22.20057287,693.0497872,517.8031172,-423.4339752,381.1529308,452.7112414,219.0677558,-341.7754093,29.36704189,721.3019216,155.8449954,446.8862242,-619.0891912,104.8933063,-627.040632,-372.2350075,-171.0721241,746.8127126,-507.6336548,474.0230885,207.7892634,73.26493908,646.3332079,-284.4700989,-592.2327754,115.3277899,243.4913202,395.5587286,-439.1372193,-79.57789651,-50.53507368,618.6346877,-7.718918822,-664.1049252,30.51068598,229.5945686,143.1950387,-277.5179973,704.0469943,376.6135083,253.8167164,-61.95054645,289.0118553,-642.2015719,-187.8799302,136.9008849,-650.1451231,298.9090704,-29.54577924,339.8707985,201.0457668,-216.0176046,363.7257422,468.6280616,-373.9251098,508.2315031
0.006,599.390706,-402.7512581,-514.8903452,-564.9204023,-403.7967866,-122.6253378,431.1782068,657.070227,-779.3121498,71.61767945,-265.4774791,142.1356247,689.0706121,-179.3358758,88.25516177,-122.8199195,32.03731977,-658.3737521,-280.3385973,-415.1695633,658.7995521,133.6246764,140.8996068,98.4552138,-272.8218307,608.4373517,-137.6666305,55.79296215,196.1511021,-671.8477039,-527.5039264,187.6504897,19.82703908,-673.4292101,-370.3510762,-545.6716632,-275.9469685,2.834866939,-401.3419014,-238.2589605,-22.20157217,693.0497497,517.8040846,-423.4342282,381.1535222,452.7120478,219.0677289,-341.7744097,29.36794473,721.3014916,155.8449886,446.8872242,-619.0897874,104.8941092,-627.0415836,-372.2353149,-171.0720788,746.8117137,-507.6345654,474.0226751,207.7882821,73.26474678,646.3338929,-284.4693703,-592.2317782,115.3278646,243.4915949,395.5577671,-439.1367138,-79.5770337,-50.53564054,618.6338639,-7.719870924,-664.1046194,30.51154136,229.5940506,143.1940676,-277.5182359,704.0460585,376.6138607,253.817716,-61.95051734,289.0125338,-642.2023065,-187.8799922,136.901883,-650.1442766,298.908538,-29.54516902,339.8715908,201.0448896,-216.0180847,363.7263453,468.6272639,-373.9261064,508.23142
0.007,599.4116527,-402.7297817,-514.8658051,-564.9031459,-403.7678495,-122.6332527,431.2076961,657.0647154,-779.302829,71.58916413,-265.4515865,142.120473,689.0650298,-179.3441727,88.26431401,-122.8239489,32.0368884,-658.3837428,-280.3338452,-415.1607645,658.7978685,133.6345337,140.9040602,98.44626016,-272.8123159,608.4342748,-137.6739869,55.79973591,196.1549653,-671.8384802,-527.50999,187.6425379,19.82541116,-673.4193435,-370.3458572,-545.6631331,-275.9460003,2.834616691,-401.3417376,-238.257974,-22.20257147,693.0497123,517.8050521,-423.4344812,381.1541135,452.7128542,219.067702,-341.77341,29.36884758,721.3010617,155.8449818,446.8882241,-619.0903836,104.894912,-627.0425352,-372.2356223,-171.0720336,746.8107147,-507.6354759,474.0222617,207.7873007,73.26455448,646.3345779,-284.4686417,-592.230781,115.3279393,243.4918695,395.5568055,-439.1362082,-79.57617089,-50.5362074,618.6330401,-7.720823027,-664.1043136,30.51239674,229.5935326,143.1930964,-277.5184745,704.0451227,376.6142131,253.8187156,-61.95048822,289.0132124,-642.2030411,-187.8800542,136.9028811,-650.1434301,298.9080056,-29.54455879,339.872383,201.0440124,-216.0185648,363.7269484,468.6264663,-373.9271029,508.2313368
0.008,599.4325995,-402.7083054,-514.841265,-564.8858895,-403.7389124,-122.6411677,431.2371855,657.0592037,-779.2935083,71.56064882,-265.4256939,142.1053212,689.0594475,-179.3524696,88.27346625,-122.8279784,32.03645704,-658.3937334,-280.3290932,-415.1519658,658.796185,133.644391,140.9085135,98.43730652,-272.802801,608.4311979,-137.6813433,55.80650967,196.1588285,-671.8292566,-527.5160537,187.6345861,19.82378323,-673.4094769,-370.3406382,-545.654603,-275.9450321,2.834366443,-401.3415738,-238.2569875,-22.20357077,693.0496749,517.8060196,-423.4347342,381.1547049,452.7136606,219.0676751,-341.7724104,29.36975043,721.3006317,155.844975,446.8892241,-619.0909798,104.8957149,-627.0434868,-372.2359296,-171.0719884,746.8097157,-507.6363865,474.0218484,207.7863194,73.26436218,646.3352629,-284.4679132,-592.2297838,115.328014,243.4921442,395.555844,-439.1357027,-79.57530808,-50.53677426,618.6322163,-7.72177513,-664.1040078,30.51325212,229.5930146,143.1921253,-277.5187131,704.0441868,376.6145655,253.8197152,-61.95045911,289.0138909,-642.2037756,-187.8801162,136.9038792,-650.1425836,298.9074732,-29.54394856,339.8731752,201.0431352,-216.0190449,363.7275514,468.6256686,-373.9280994,508.2312537
0.009,599.4535462,-402.686829,-514.8167249,-564.8686331,-403.7099754,-122.6490826,431.2666748,657.0536921,-779.2841875,71.53213351,-265.3998014,142.0901695,689.0538652,-179.3607665,88.28261849,-122.8320078,32.03602567,-658.4037241,-280.3243411,-415.143167,658.7945014,133.6542482,140.9129669,98.42835288,-272.7932861,608.428121,-137.6886996,55.81328343,196.1626917,-671.820033,-527.5221174,187.6266342,19.8221553,-673.3996103,-370.3354192,-545.646073,-275.9440639,2.834116196,-401.34141,-238.256001,-22.20457007,693.0496375,517.806987,-423.4349872,381.1552963,452.714467,219.0676482,-341.7714108,29.37065327,721.3002017,155.8449682,446.8902241,-619.091576,104.8965177,-627.0444384,-372.236237,-171.0719432,746.8087167,-507.6372971,474.021435,207.7853381,73.26416988,646.3359479,-284.4671846,-592.2287866,115.3280887,243.4924189,395.5548825,-439.1351972,-79.57444527,-50.53734112,618.6313925,-7.722727232,-664.103702,30.51410749,229.5924966,143.1911542,-277.5189517,704.043251,376.614918,253.8207147,-61.95043,289.0145694,-642.2045102,-187.8801781,136.9048772,-650.1417371,298.9069408,-29.54333833,339.8739675,201.042258,-216.0195251,363.7281545,468.6248709,-373.929096,508.2311705
