Time,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40
0,60.90115298,71.4935123,58.48387357,68.3232161,58.37377926,64.94584112,74.14469324,53.9083791,51.38680949,54.89854817,55.57132803,43.80590524,59.48800849,32.82879393,71.08312877,56.77031624,58.10346559,62.75664414,68.00159805,56.96392502,45.72839645,60.36867482,65.11026345,58.11770423,61.2114525,48.82712907,56.03406522,71.25381888,77.38458476,57.11408122,44.03440501,66.3251868,64.85826299,58.87389441,62.31441418,67.56345491,63.89527857,53.36661838,40.68731218,56.34584489,39.19624662,62.93563016,44.07470454,58.90736065,47.65078541,60.47256665,63.33612419,65.79153061,57.44248106,59.0348755,60.2590577,59.98147407,39.71252292,57.07907393,65.4586767,39.13165925,60.53012957,63.46576897,46.59703676,65.48801439,60.72823227,60.868862,53.98823257,50.71955961,67.02372464,69.34006814,71.69854375,69.41185714,57.96969122,63.9060479
0.001,66.73886509,59.637969,50.27676592,54.61796678,53.22253864,32.82568853,73.21476971,45.14590235,56.01266873,62.98674199,46.33071039,26.67247937,59.65547237,37.00873573,66.46516695,55.42357721,55.85094811,68.91370451,48.38462437,59.27699284,48.26255324,76.51662513,59.55435731,66.11872702,71.31139844,41.15383846,48.40956318,63.88848508,71.31722143,71.10318821,40.77628966,49.58883659,76.45781049,60.20348407,61.69748958,66.16538418,61.70724049,53.89986383,41.33969945,79.84124341,58.50497414,67.21138132,47.56983567,69.22246964,67.04108769,46.87414812,70.81712636,52.45266927,44.62412998,45.98676426,53.86710671,67.38911449,58.15591743,66.93838448,63.87838421,56.79873199,71.37695709,53.27693208,35.19621874,74.46655005,60.1938812,54.13328787,61.21594442,51.53349599,48.15853277,56.20644443,61.93338187,52.94182798,64.14211932,57.1719594
0.002,68.74411791,62.04356802,60.81403207,71.59721147,64.7420824,46.85826539,58.44199601,28.74399132,78.53702681,61.15043364,67.36455078,44.29934475,56.04955432,49.70059423,63.61543865,63.84960698,66.12009738,56.09006516,45.28448586,51.74063421,56.02363172,62.16576286,60.0331266,57.44944894,60.83465747,66.1060176,65.55155735,55.13601552,74.53189686,67.32656011,52.73879772,79.07626864,65.88119381,59.90521419,46.25847639,57.83310786,50.49412316,35.97301514,49.6911125,67.92890305,51.01368583,58.16663558,40.39274637,61.80093246,53.41397033,58.69922057,50.62176404,59.54579294,64.50795976,34.33342918,68.00129941,72.6228851,66.42817941,45.84234658,58.27567252,41.57162643,67.3644093,63.92213254,43.54154764,63.71940107,69.36553397,55.00730781,51.56325707,55.63882622,66.49362475,48.13109869,71.51810724,59.87448254,71.67820137,73.08907029
0.003,62.75181198,69.50424397,63.53412016,70.53465824,54.63689346,58.61880422,60.72762386,46.24403036,64.04846692,55.63646728,56.03506414,50.50514515,65.10120829,43.02808902,56.78746105,49.2938411,63.46835657,56.61065423,46.92142821,63.60957208,65.99508334,50.3532963,71.47561243,52.00503282,67.87784754,64.56482803,63.48113617,73.01504946,65.70894314,74.04674219,47.34331773,59.58346564,69.44455421,52.28304459,48.33663292,68.77709232,77.33186766,51.1549218,56.42384489,77.51845986,42.40088441,66.40981404,45.39036473,57.15128474,43.91320282,56.50621438,55.65582753,65.33754149,59.76365673,61.65191898,50.82950478,58.13597773,53.9165911,63.96484776,48.84917328,52.48946526,53.08908924,69.33179071,40.17617436,69.54923436,61.02044691,33.67985835,48.33510338,51.74882354,68.63946952,49.63486855,72.41748616,48.48685288,57.08902717,59.47168773
0.004,76.3886916,70.88516707,65.98340477,50.27095772,63.47604796,45.16335447,52.74609922,52.79963358,66.34724298,72.43858718,78.61480244,64.58781861,56.20881333,43.4582466,62.39625026,71.69105238,57.99415702,62.81824112,64.04342893,55.20203346,59.19470835,76.12173047,59.06178274,48.99603338,64.18023005,60.03165276,57.59774978,69.19665245,75.9071585,64.3767565,48.19720262,57.1382341,72.83240839,54.61714337,75.53809492,54.45668248,38.91499217,53.22198915,63.62926008,57.04591974,49.72244588,69.90932139,54.88567753,74.87711536,59.54179506,56.33199649,73.59133802,58.99490448,33.45165606,59.27616679,55.94049421,58.19526912,62.94945398,53.36572656,51.12488609,55.19541784,59.2639987,42.03889628,37.47991045,60.19551897,72.16437787,70.5426839,73.78733363,47.49078511,56.78797727,52.16294736,59.17666243,71.03825215,62.87463706,66.35303607
0.005,51.59698031,69.44976705,60.06560297,74.70384986,52.19272269,50.14604984,62.81042487,23.76719892,61.39652843,50.34073259,62.72486424,43.5962505,78.93662115,28.25743435,69.76764017,72.20865677,65.38057983,68.80017598,54.51888971,49.38491394,67.17178892,78.34755378,71.07659918,63.46556283,64.82829963,55.0174989,56.86033602,66.63019783,55.33548497,61.50026223,48.17322456,56.66024118,83.6195959,57.01536454,69.00253129,61.7561284,56.4163413,34.8415612,54.09152752,69.78403284,44.46121673,59.37427273,39.16631238,59.55036232,71.72742498,50.44045561,69.95482547,40.46854162,59.97069277,33.92970237,53.38247829,75.35301316,56.15811068,41.52177275,62.07854326,45.73975466,56.89937378,55.60061548,35.17705078,42.93867203,52.16228894,52.13436239,55.70454132,44.16155454,45.20414708,59.88371099,72.87668436,68.5207283,51.4163583,63.70543927
0.006,67.39485531,62.22867175,79.6551427,69.14674209,66.2021043,50.48834956,73.83404421,46.03879377,61.82852673,48.53936777,62.80457543,30.2365405,63.65015954,15.31971664,58.69648516,75.30051807,57.08846302,64.81693335,36.19526734,62.54987478,61.16482884,49.10373439,62.48564419,66.22325015,73.88700446,56.90722711,75.13370715,69.76267724,51.80262019,72.87121078,48.36468068,64.69696833,67.88816033,61.62603442,56.25462123,67.17471123,64.14188808,49.28535108,57.61630863,67.74129626,38.49042899,58.90583708,42.25476081,75.91389923,48.12549057,49.00710077,45.5372432,46.88368406,63.18702507,44.8441809,45.95194174,58.38747891,57.83713246,61.84351128,52.03596409,34.66225726,75.27207024,67.85613221,50.51453482,52.12227457,52.3492948,43.48364686,61.38695875,49.84280387,76.75967626,50.02389358,70.47948896,58.55796952,63.87181419,64.33161655
0.007,58.94696154,67.98479819,57.02187961,85.37459412,71.35800625,45.61757011,53.51473853,39.29741565,49.84690578,57.86047042,63.41382065,41.91280962,71.08891551,41.60255627,75.16986033,64.17963483,57.10392087,59.57036466,46.42291329,53.34550024,60.62412708,60.46254694,42.71692845,51.36976462,68.37707391,72.10792737,68.51003322,57.36377392,74.73476914,66.57255393,44.48322161,66.68134257,59.60579966,51.84473726,47.36131696,64.47108865,62.00598311,50.64819227,44.83472043,60.32308341,42.74836227,56.05447646,59.98042138,62.73366593,45.8476936,41.33229857,62.4676992,73.74541068,62.32220288,48.48653175,43.81348228,69.8656973,51.37953897,36.28146512,72.61053186,52.17205219,52.76222363,56.05501102,43.25602437,63.34308964,77.53578659,70.83338531,67.00763623,51.73115695,62.96234899,70.48022268,66.05903799,54.21420765,65.49425642,57.1805472
0.008,63.11756098,65.94813578,56.80081551,59.86101259,73.75711271,48.60967588,59.06045843,47.51827877,46.93867719,63.99724083,60.21194774,43.02370284,53.81013816,45.53778063,68.81121046,48.56885297,66.71142519,71.55394192,65.03780606,57.39140426,62.05104655,62.80086897,58.49587633,66.36794612,66.06329631,49.01037041,48.28527017,74.15848674,63.71761455,66.1440403,54.43375494,58.60087535,70.88247538,50.25061142,66.72073017,56.65786234,53.28458123,54.41239849,58.58359741,73.53381931,67.47543669,75.33654488,43.24095688,57.58861827,49.13618905,27.77403965,50.38337384,70.45439437,47.03052711,52.94712726,43.70460042,64.45868347,76.34475943,55.19917262,45.86271889,56.25223253,54.75444976,61.03292391,36.17110162,66.61155236,49.38347798,58.21380027,50.80559226,37.62315733,58.58441929,67.55955065,49.11270213,65.8295164,63.00906528,54.13210161
0.009,81.7969738,70.70805264,51.73424149,66.85702242,68.6808429,56.8011268,70.52867359,35.74532691,50.32971505,62.03422322,56.728797,59.54450922,67.03379502,42.76130715,65.20213914,58.05588007,55.38927101,74.32747719,64.81859917,57.25560461,58.55082439,64.7454326,78.04311617,49.28967792,62.97377917,68.00570385,80.08050363,54.67248472,69.70958675,65.71431495,51.21761951,75.51742446,54.51146586,49.57547068,53.77533642,75.32113818,60.96500313,47.45174766,48.34534735,66.53582953,39.22617604,66.17847392,40.25655829,60.42271264,54.38313159,62.80592421,57.14641874,49.81897148,58.91469642,49.77072595,78.5318482,71.88358466,41.70670673,25.41475433,47.08355384,52.55228136,54.47916167,68.3219935,54.78808342,72.35606642,41.25254281,60.40415444,49.25627699,55.13364927,70.89162791,49.50855681,64.97620491,58.42424498,68.83424842,75.79273292
