Time,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40
0,-0.787710403,1.086632117,0.900071395,-0.029151623,-0.411926849,0.923420427,-0.589238211,-0.226485752,0.300716382,0.29198889,-0.275189777,0.451641223,-1.018542469,0.060471089,-0.781538844,1.041170592,0.219070292,-0.424242578,-0.350654585,-0.045878857,-0.661177746,-0.456107242,-0.907356771,-0.752218866,-0.02552865,-0.007309079,0.295617568,-0.451480876,-0.676132678,0.598697971,1.986226455,0.990773993,-0.247173524,0.061542715,0.745212845,-1.060021862,-0.772332618,0.311471203,0.833570138,0.792807018,0.266396528,0.924613234,-0.127186213,-0.608333092,-0.692336345,0.138617478,1.130670479,-0.023820564,-0.736001131,-0.166413769,-0.37859964,0.85958269,1.205782519,-1.07765444,1.034259349,-0.652064446,-1.505582141,1.128716073,-2.273166467,1.168017924,0.827118772,0.174525962,0.469598402,0.788852269,0.046677748,-0.551560209,0.206763089,0.541783586,0.111878757,0.51286677
0.001,-0.840073644,-0.129929331,0.811690255,1.214827025,-0.49754376,-0.76913333,0.230792131,-0.903421353,0.305492601,0.328293346,0.895412171,-0.322645111,0.333369422,0.582002664,0.592809358,0.680086973,0.679578549,0.563510534,0.629912378,0.671899525,-0.245187663,-0.629749575,0.16877073,0.68352223,1.378649332,0.29527967,0.587492669,-0.224812401,-1.393369701,1.378864117,0.715982683,0.175131977,0.785305265,0.370711672,-0.659376772,-1.20186206,0.318969912,-0.150667472,0.962235622,-0.810994363,-0.517053199,0.208294378,-0.30244036,1.361586368,-0.322017353,0.610247562,0.894221491,-0.012263912,0.995620691,0.430384887,-1.728700799,-0.037639508,-0.58721824,-0.056569903,-1.20809444,-0.060586895,-0.354879812,-0.167842118,-0.238646907,1.269056015,-0.850319142,-1.91608121,-0.532100005,-0.789501014,-0.310178348,0.37402178,-1.172320718,1.562221094,0.411946166,-0.443392453
0.002,0.940661491,0.846067301,-0.184088562,0.79614495,0.292125968,-0.098871661,-0.297563734,-0.275002861,0.966180159,0.216151871,-1.401732318,0.386146328,-0.777272265,0.658121817,-0.794991473,0.683941991,-0.910711493,-0.147818542,0.204517769,-0.214642494,-0.590726033,-0.072039121,0.360748206,1.07123618,0.038105001,0.397516798,1.273640382,-0.027575402,-0.079565704,-1.080849508,-1.567582678,-0.526487429,-0.553880475,-0.286984793,0.682431094,0.442076992,-0.242033309,-1.158036232,-0.327240651,-0.106324313,-0.249473187,1.333340396,0.798705213,0.572024945,0.053159094,-1.005217562,-0.923537208,0.341460404,-1.626582673,-0.12805198,0.092179407,0.356614671,0.088338118,-0.343229473,-0.482226096,-0.346462012,-0.462236434,-0.737788643,-0.976311001,0.626964251,-0.408315575,0.62719767,-0.784584514,0.704635982,0.464278927,-0.287013928,-0.015270538,-0.067243271,-0.042418278,1.036953147
0.003,0.892980372,0.607208019,-1.041773603,-0.335954526,0.33858129,-1.249736839,0.341612991,0.790120134,1.092297117,0.642345219,-0.136603927,0.286471428,0.2981649,-0.823841806,-0.335509392,-0.687523966,1.457808212,0.454133373,-0.068697678,-0.355461938,0.370015093,-0.556470631,-0.093385385,-0.201185539,0.563957203,1.546660056,0.216151886,0.892276309,0.758991465,-0.055604179,-0.384543545,-1.175568914,1.752448661,0.271221442,0.573046744,-0.641518238,-0.001035578,-0.580625889,0.095179892,0.153737398,0.287921085,0.426999107,0.949752171,1.125570765,0.275564072,0.34206265,-0.564986494,0.266198498,-0.008986383,-0.962917514,0.583805172,-0.467077689,0.356348892,0.056704953,-0.598105583,0.583847726,-1.724149253,8.83721E-05,-0.720025581,-0.003388564,0.065344138,-0.290872354,-1.205951853,0.636957487,0.169579859,0.121171574,0.250661908,0.713537201,0.324014891,0.34281584
0.004,0.665760539,1.570759225,0.515474214,1.353888684,1.47419779,-1.006145982,-1.245978802,-0.173653885,-0.029818954,-0.31059401,0.660232083,0.40267068,-0.119075136,-0.433974134,0.142544946,1.293636621,1.097568709,0.520006211,0.639191464,-0.339456612,-0.771636339,-0.276448967,0.835563077,0.23929596,0.376982018,0.213286887,0.388722506,1.047045079,0.28405187,-0.528529238,-0.570823409,0.2926614,-0.373381634,-0.498808486,-1.201872415,0.102905159,1.758488497,-0.296463532,-0.304032167,0.061374211,0.619640571,0.423531696,-0.649345217,0.560452832,0.167230462,0.23707756,-1.38310984,-0.843564136,-0.642938137,1.498006879,1.262022841,0.161754618,-1.322722138,-0.789868357,0.694431663,-1.125031826,0.8503207,-0.856507731,-0.223448025,-0.813435368,-1.121847563,-1.063808574,-0.439443536,-0.317153688,0.15542502,-0.272173736,0.26861602,0.473179475,-0.205939885,-1.17470754
0.005,0.189414353,0.980973324,0.1690519,0.158685232,0.256351022,-0.354204394,-0.136886768,-1.086138618,-0.342993993,0.184010515,-0.713769968,0.282715162,0.439815274,-0.016116177,0.531550495,0.590760982,-0.389689032,-0.26210911,0.396222129,0.499421868,-2.253422091,-0.579735652,0.392578343,-0.63956488,-1.208673413,-0.002114259,-0.580053071,-0.993965583,-0.00963942,-0.511914551,-0.026380961,0.44370859,-0.50884202,1.388481706,-1.324261347,-0.542636664,0.671184963,-0.119509664,-0.631609045,-0.136616782,0.456309665,0.648543239,0.221171415,0.099659639,0.378587857,-0.858772848,0.681914713,-0.868864801,0.458036375,-0.282382356,0.24268303,1.014806185,-1.309913806,-1.172863883,0.091815304,-1.160128189,0.6757593,0.480078439,-0.925088436,-0.817105935,-0.107860798,-0.030157959,0.452759177,1.542189803,1.245478985,0.649372855,0.476003671,1.098122729,0.855145183,0.172998907
0.006,0.37229394,0.39754908,-1.06023247,0.823624631,0.880022434,-1.194242734,0.415787081,-0.738442176,-0.816275531,1.520860002,-0.10361109,-0.646759969,0.441658975,0.255482316,-0.622468591,0.818365963,0.594376128,-0.727367495,0.434156521,-0.140120141,-0.502223375,0.029133841,0.383152828,0.093177365,1.232445372,0.247607705,0.002371052,-0.999801285,-0.70148253,1.462775804,-0.005647848,-0.566736501,-0.573002668,-0.036517967,-1.351398608,-0.675764722,-0.130446558,-0.493819341,-1.128261373,-0.350846651,-0.224272463,1.696937092,0.340803587,-0.671679769,0.053218612,-0.491184473,-0.526881469,-1.304203181,1.477218575,-0.806520692,0.920567926,0.089717348,-1.068787134,-0.138211353,0.83426288,1.216614282,1.30240158,-0.565453557,-0.47167489,0.350797521,1.296518982,0.847770742,0.287141768,-0.340871519,-0.329740427,-1.227472479,0.209669788,-0.616898265,0.796878174,0.792639736
0.007,-0.403410582,0.317517261,0.469776838,-0.448954268,-0.04662778,-0.218164139,0.317836731,1.078403825,-0.321054339,-1.081143059,-0.474432968,0.738248844,1.777031935,0.473787351,-1.18756941,1.229713653,0.36316859,-0.675493404,0.383445061,-1.45759032,0.064620836,0.01612159,-0.698785541,-0.341937348,-1.611720604,-0.220140764,-0.642542938,-0.533356091,-0.563381688,0.938968166,1.03154236,0.197561688,0.630065986,-0.494226716,1.040542226,0.40803147,1.339763708,0.424920936,-0.215349457,0.925401042,-0.167116228,0.17843195,0.058405567,-0.667650149,0.392639748,0.737726308,0.146006676,0.326832376,-0.552203059,0.142381872,2.07394244,0.59335335,-0.748072182,-0.522611122,0.140214761,0.822635992,-0.864016526,0.03276232,-0.536064101,-0.057438807,0.291221985,-0.320183653,0.299673757,0.15213593,-0.75802751,0.083061765,0.951153446,0.24810748,-0.629407551,-0.05272045
0.008,0.96317663,0.933881304,-0.395574979,0.185397446,0.6389812,-0.780990045,0.888139314,0.483134562,-0.341017208,0.36195127,-0.821260321,-0.744254454,0.019788213,0.768596067,0.172129201,-0.720494189,0.270873987,-0.581134305,-0.356472037,-0.42237886,0.729499521,0.14360069,-0.67244534,0.473899764,0.222520618,1.595481625,1.209771752,-0.174728861,-1.149697082,1.805200478,0.336368779,-0.418699375,-0.48609353,0.105866868,0.502832862,0.80111794,-0.03861746,-0.828158635,-0.767773044,-0.575157437,-0.667836651,0.517299922,-1.356001706,1.154698047,-0.27272904,0.625716592,-0.246066218,0.281882347,-0.004700448,1.360363443,1.045043147,0.619878453,-0.392465389,-0.116761592,-0.292607669,0.818148147,0.608584272,-2.063634627,0.389438006,0.145897601,-0.3259301,-0.139782942,-1.359173821,0.336069893,0.619932563,0.504190607,-0.133105775,-0.673257663,-0.323078221,-0.23400787
0.009,-0.620187722,0.032610039,0.409371314,1.774299019,0.481496522,-1.165064565,-0.00651414,-0.484678643,-0.555478074,-0.507713551,-0.496068441,-0.131436702,-0.064126148,0.342494962,-0.054146187,-0.255847872,-0.497314339,-0.541518265,-0.288394375,-0.054046814,1.444927976,1.062757328,-0.681004408,0.505048202,0.091056774,1.124172425,-1.434790303,0.20771297,-0.727554388,0.77892925,-0.958286819,-0.384590816,-1.219867636,-0.763944179,-0.372438895,0.932127964,-1.194101627,-0.43430007,0.435465898,-0.857663741,-0.662869005,-0.687570484,0.27835065,-0.838169857,0.45305413,-1.568393033,1.51529778,-0.671728004,-1.977938046,0.852428498,0.553258816,0.391695214,-0.345016083,0.600706005,0.173088671,0.347632912,-0.15874941,0.770359832,0.537251533,-1.481771886,-0.602814489,0.162650247,-0.01194743,-0.240503737,-0.370961164,-1.082451617,1.158414316,0.985843257,0.01719395,0.301506892
