Time,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40
0,-0.121129428,-0.244747923,0.40577028,-0.466582992,0.905362401,-0.022845377,0.928816898,-0.110869184,0.232212406,-0.560805152,0.297610145,0.498650048,0.835841375,-0.848533949,0.050096939,-2.10055807,0.145807193,-1.195002665,-0.351673769,0.324302757,0.198737191,0.44241452,-0.409790857,0.896339668,0.826379399,0.841530218,0.47842,0.274199702,-0.258427255,0.115508757,-0.326347264,0.259820935,0.804523852,0.556616333,-1.224101488,-0.096281786,-0.015322629,0.503282192,0.012731175,0.100187488,0.92408102,0.045238395,-0.239541066,-0.498895449,-1.197379414,-0.539940883,-0.670954885,0.043973918,0.505731012,-0.269817728,-1.127107045,-0.651911915,-1.263155973,0.053908405,-1.398730008,-0.718113361,-0.884510296,-0.047935276,-1.256739344,0.412780104,-0.098413865,1.32262526,-0.707463294,-0.972938056,-0.786220409,0.786901279,0.690887447,1.619257415,0.721044626,0.257231415
0.001,-0.878424185,-0.281536519,0.44420662,-1.121845352,-0.171476593,1.135244572,0.347940879,-0.81664905,1.614548059,0.432102392,0.501292249,-1.05270119,1.310716722,-0.130828183,0.904847217,-1.026841647,0.52331235,0.37595663,-0.304105066,-0.143830357,-0.235769357,0.304688221,-0.27168834,-0.033726914,-0.948890729,0.019289308,0.02123376,-0.107899426,0.859142887,-0.994541052,1.55579779,0.744128662,-0.379130671,1.611210205,-0.571981372,0.626568744,-0.515864994,0.692584113,0.441261295,0.61295526,0.327535098,0.601593637,-1.044948306,-0.444002435,0.096912987,-0.488495012,0.722325153,-0.639364205,-0.860278098,0.376756664,1.269566601,-0.24240701,1.220158491,-0.607611929,-1.313495483,0.244765485,-0.842734596,-0.612403389,-0.297314463,0.432690622,0.941867691,-0.763217319,-0.993676663,0.169375857,0.272455428,-0.812324087,0.060957636,-0.990811557,-0.558339003,0.402389869
0.002,-0.532558927,-0.470730594,0.250860239,-0.720567408,-1.243728423,-0.427853837,-0.434961437,-0.033342652,0.351267211,0.005563452,0.861164548,0.59058804,0.501829532,1.543688226,-0.769938987,0.305814825,-1.232403219,-0.153893533,1.851477345,-0.430043469,0.978058747,-0.013991828,-0.807381088,0.660464215,-0.607970892,0.774945141,0.6293022,0.65420044,0.826958326,1.204358676,0.589730851,0.28678691,-0.981419176,-0.482658573,0.966951113,0.210323557,0.497052537,-0.168016821,0.260772174,-0.066709846,1.0656967,-0.545612807,-1.158207292,-0.77101122,1.46156485,-0.259507363,0.503884977,-0.855706112,-0.871648338,0.42892449,-0.09868759,-0.089203071,-0.120429052,-1.479130385,-1.625120882,-0.771859485,0.111246909,-0.935794719,0.375206654,0.530227128,-1.224588539,0.252840805,0.210505468,0.380091041,0.400699127,-0.427417692,-1.012371814,0.383931879,1.406019995,0.78225947
0.003,0.887315484,0.286378605,-0.087436041,0.150849521,-0.809299279,-0.40853686,-0.419392516,-0.284524441,1.81604264,-0.979273553,0.080680321,0.672617448,-0.544812289,0.144227288,-0.436703093,0.567525083,0.372751683,0.743865911,0.44264572,-0.434068327,0.076840271,-0.26516075,-0.045946472,0.737560381,-0.998477088,-0.11223803,1.266435242,-0.636474714,0.619962286,-0.342584294,0.997122408,-0.494663373,0.82781576,-0.399091419,0.156566941,-0.102579458,-0.55089971,1.766617245,0.448204663,-0.252185178,0.571984188,0.139987217,1.155926083,-0.366384122,0.633429897,-0.842401236,0.181083838,-1.357768421,0.784970063,-1.336973315,-0.288769435,-1.284117314,0.498896512,0.583723314,0.000691239,-0.647173565,1.205499106,-1.242439677,-0.14514396,0.368270264,0.854937937,-0.696420955,0.386226811,-0.195361126,0.825118717,0.327905344,0.394201746,-1.096012321,1.053916734,0.588683669
0.004,-0.336937097,0.644920168,-0.356338717,0.806610078,-0.744188157,-0.530153662,0.303600929,-0.445076752,-0.813613618,1.268766702,0.138433667,0.374507929,0.673934964,-0.760601571,-0.291302604,1.723199716,-0.234471389,0.132932642,0.766814747,0.627053103,-0.434732203,0.072479784,-0.588853246,0.280421112,-0.507728005,-0.777019304,0.2438693,-1.056230197,-0.79944286,0.871826801,0.611736725,-0.29001262,-0.693722617,0.831051693,0.348266722,0.516168716,0.337554416,0.044885879,-0.034192144,-0.275872107,-0.37817619,-1.101128379,1.291087943,-0.949024794,0.798695341,0.579206485,0.280040861,1.342384276,-0.357546626,0.412824469,-0.120102078,1.374112205,0.293319357,-1.464428831,-0.369032032,-0.235733536,0.035621144,0.204441783,1.12481426,0.367970724,0.29642102,0.494418874,-0.161304986,-1.369750832,-0.328793842,0.427685208,0.249098356,0.521105747,0.814220692,-0.933263879
0.005,0.655828419,-0.302415024,-0.227090771,-0.671650955,-0.289518699,0.555504768,0.499546688,0.704052156,0.637560505,-0.498123514,-0.176014903,0.292420998,-0.312502545,-0.032854463,0.504424696,-0.8325035,0.580096935,-1.211236041,0.420246087,-0.723393285,0.474242963,-0.246734443,-0.340034884,-1.241997361,-0.67412701,0.466683314,-0.024846734,-0.103299133,0.301989201,0.002459924,0.139643986,-0.722892419,-0.068673505,-1.321691868,0.852980167,0.400238921,0.462839079,-0.159102878,0.243387647,-0.101764567,-0.918925912,-0.214268419,0.818707572,0.418528357,-0.253516009,0.108219925,0.96665389,-0.766240707,-0.47888032,-0.06972424,0.249955995,-0.528523487,-0.023151337,-0.110815611,0.707654298,-0.884246373,0.983961826,-0.586441272,0.698741856,1.372016966,1.187743324,0.525690357,1.355015046,-0.102452533,-0.615726659,-1.141852388,0.452293647,0.576238248,-0.457114272,-0.479822464
0.006,-0.281242207,0.398341268,0.101452766,-0.517755367,-0.085863184,0.259131729,0.159712186,0.784369408,-0.746008348,-0.730647387,0.276513816,-0.79097339,0.737734879,0.324500413,-0.227210967,0.952030197,0.174883155,0.303628858,-0.050083976,0.108691511,0.419220596,0.769914527,0.135705093,0.38278525,-0.461826992,-0.450871828,-0.238179881,-0.163891606,-0.597426046,0.902192405,1.050740161,-0.783011897,-0.006173208,1.986567766,0.325842553,0.449390795,-0.310212456,0.73425757,0.385899896,0.434144893,-0.215777683,0.50669397,-0.753695144,0.803085862,0.038160534,0.097156908,-0.221349577,-0.716535268,-0.555473861,-0.009980823,-0.806600818,0.961748422,-0.350807862,0.297326566,-1.189259988,0.734935349,-0.348224904,0.347170486,-1.112592945,0.267139,-0.132825922,0.674719344,-0.803567287,0.385450274,-0.609979097,0.329865511,0.291591215,-0.191115935,0.077846051,-0.783616128
0.007,-0.185549679,0.33617077,0.020740141,0.001817013,0.229523659,-0.615866646,0.093393455,0.338237152,0.428562094,-0.369003689,0.350295159,0.182689368,0.125057961,0.374430149,-0.181950338,0.89195758,-0.049640561,0.24861628,-0.341134492,-1.229892255,-0.359972696,-0.373649829,-0.069712843,1.048771743,0.229821249,-0.098231888,-0.018506599,-0.619708224,-0.106061769,-1.197050027,-1.229510145,1.544458608,1.022434032,0.47351547,-0.596658223,0.173082489,0.528738514,0.610647575,0.463300637,0.711463222,0.354914973,-0.743754092,0.734074494,0.05874769,0.557360156,-1.185622344,0.771387341,-0.512928877,0.338331645,1.225013664,0.659186809,0.816927235,-0.59149303,-0.565661743,0.017951124,0.067041411,-0.073171437,0.001750251,0.816782461,-0.096680795,-0.926698788,-0.641289509,-0.491033812,-0.510614367,0.08973688,0.125608829,0.548975899,0.403263517,-0.252902565,0.01422405
0.008,-0.414025136,0.52769782,-0.773921161,1.021923454,0.505284515,0.174378376,-0.385636779,0.99922104,0.647826045,0.346785284,0.296538918,-1.10598808,-0.491135187,0.215055093,-0.323998918,0.882894516,0.193289878,0.03456974,-0.084755791,0.43289923,-0.175263653,-0.599793266,-0.35200971,-0.525783862,-0.581813185,0.339999279,0.177763939,-0.297206556,-0.505113122,-1.431025672,-0.708550135,-0.550641542,0.063367773,0.294048962,-1.813496951,-0.257667112,0.979504758,-0.253025714,0.038146567,-0.534423924,0.676454002,-1.193551762,-0.093989479,0.513825761,0.252286241,-0.171304858,0.321014381,-0.452383144,0.266376271,-0.732732569,0.047698786,-0.161838968,-0.050720076,-0.216714607,0.157087768,0.82469225,1.004665159,-0.177063558,-0.290624598,0.190481083,0.914919875,0.113848726,0.292256438,-1.203355547,-0.85124962,0.046146979,-0.345919987,1.507635198,1.161608356,-1.926544513
0.009,-0.807476938,-0.811335336,0.248592352,0.450005681,0.517791421,0.347827805,-0.201648575,0.779132813,0.726968365,-0.291563818,0.347448426,-0.33459336,-0.991307948,-1.699204073,-0.182939507,-0.38891969,1.035309692,0.119044159,0.752103576,1.167273473,-0.96913552,0.570149525,1.276179792,0.602182397,-0.069694603,0.051634691,0.782365945,-0.171682649,-0.927968967,-1.569785092,-0.127156688,-0.976004735,0.18559357,-1.975999655,-0.872083278,0.325897336,0.172692285,0.080326674,0.533973306,-0.241754463,0.70977661,-0.689913601,-0.382800875,-0.618082232,0.529554868,-0.446694602,0.024530965,1.227517245,-0.433597769,-0.391325278,-0.548504218,0.40828963,-0.311307486,1.55626187,-0.134390232,0.278430747,-0.566463419,-0.429388564,0.184216542,0.059752104,0.461650693,0.779923892,0.353260683,0.187531731,0.244465196,-0.053690462,0.331880798,-0.181091038,0.785229467,0.48489124
