Time,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40
0,59.64695496,82.41200018,70.26043761,69.38831089,86.21691124,65.37707299,80.32940963,52.15600409,79.93471878,61.91217948,68.26668207,56.95653605,69.85614991,65.24083859,64.71326362,68.07550005,72.82190253,67.30174677,63.69766887,76.684053,79.12154427,60.9744318,67.68065425,49.20941334,76.81867652,60.94758378,79.98998926,73.19038129,88.17692285,76.82397221,51.73948132,68.37869986,63.68612098,80.37173588,75.20406644,78.69556318,70.39717887,63.90282011,41.06005331,64.80525879,41.09250847,63.94022524,80.21394124,82.87493697,81.17975244,37.286243,77.74328268,79.4786873,67.42543488,59.89548589,58.84188437,85.12816322,62.06326903,53.7197817,76.71008209,39.08413684,55.21639929,59.58056306,60.46590581,66.53488013,72.75905793,57.12140488,71.38985577,22.59155479,72.92447292,81.25042675,69.78959232,59.34633441,56.41911036,73.4435766
0.001,68.43304527,92.93994694,75.52565419,74.27075222,76.73660558,69.8762516,63.17274106,41.10407864,66.47726907,68.20272571,78.28440117,57.94650494,73.57268756,64.48596965,59.67984766,79.02369578,69.33407451,76.66741555,66.62340716,61.87079041,80.26150885,65.9036735,62.31897589,49.19645967,87.93035423,72.67691357,75.76725609,75.80547373,80.93154595,75.40632265,52.86587961,70.37982351,73.40693081,68.74411049,64.44338271,75.40700591,71.4964393,66.83891622,60.61178828,64.2070251,46.78056756,69.40868676,67.51553213,79.61675581,53.74433762,47.07463353,73.98782867,72.56876514,69.61271909,67.94739471,64.61864274,79.33664453,37.69363914,48.45400805,61.91003134,32.05235243,56.017883,75.93167003,63.77651016,80.12961486,66.26986554,57.42307677,59.11333891,42.02523909,72.06982079,76.95350218,71.2619359,68.94035942,65.48514836,73.575214
0.002,77.22097703,80.32087292,81.36239666,83.05969979,74.08588765,62.78701797,68.25475037,45.4193691,75.38662522,68.97753411,79.31761891,55.17388191,82.81720156,62.40912641,69.85712598,68.68816118,60.75251469,60.12188623,68.08899365,65.73135308,66.70078557,71.08158666,78.58101438,41.75095002,78.02012997,69.85494716,83.244707,73.44880479,87.20042486,79.93509767,49.81793197,72.70877346,69.1873113,68.1955107,68.83695091,76.0966794,66.79609755,67.74349595,42.40590653,75.88100185,35.64461034,78.43089426,69.496129,77.87965367,60.09934501,51.33107841,64.39687633,70.91064677,68.12511687,59.99406113,64.60538778,77.90486815,58.83336176,60.73509623,73.99799846,34.40472773,73.96351628,50.30632049,52.33939398,63.87194118,69.58572365,66.45270123,68.27560128,17.03455929,81.91135437,65.93186281,67.55657771,60.52261892,57.92738424,72.83466826
0.003,71.7402805,77.96223001,69.08855968,73.56207889,81.5305849,63.11209016,64.57967703,51.51566862,72.52161207,71.56431866,72.11508543,47.27430285,74.82355757,62.5839459,75.33641824,73.79112703,75.66339091,90.68057326,71.40750118,71.25801416,75.16047322,58.94048056,77.7008052,46.00847016,69.65921429,80.10446431,82.65321626,68.15863625,84.65112952,80.42736346,53.35853089,63.81451067,80.81803,71.69314071,75.51201042,76.13277127,58.65416865,61.00135092,51.72647502,75.42918452,31.74042907,66.74136844,74.41088425,74.43543761,63.62562027,40.11396319,65.41849737,78.87229804,51.63697061,63.28019251,68.5253246,81.03850912,48.52314966,48.76004024,74.05568298,37.23874682,61.95525983,57.93845238,51.40539457,66.17908082,71.12703863,68.87375878,67.43982337,37.32398958,88.86214551,69.25939248,73.34461033,56.46267904,58.93238522,76.87891646
0.004,62.54231803,85.3223821,65.04557532,79.16111469,76.16510331,68.48933271,63.09083145,46.77373507,59.81502204,68.97459077,63.84464203,60.08789366,78.87111035,59.75804829,70.14937067,76.9125419,61.24533109,67.02561686,58.55818642,62.16508784,75.7371571,53.41656383,72.18698086,59.70816742,63.64685096,78.54126651,73.76045928,82.05505127,86.36784149,77.47195009,53.98055278,53.66835876,73.85409736,56.28460214,73.69697704,80.24614289,76.74831872,67.9409568,37.93434242,65.09083163,44.89573391,78.1774478,63.47582929,80.82141503,76.40873443,45.39321344,70.25643231,80.6786234,60.8695246,68.71794893,67.93667282,78.09671822,63.13614211,54.32037767,54.09514867,38.85235113,71.23025851,62.77855771,56.00351771,69.13292698,69.91955335,72.42359992,69.75262537,28.19639995,79.62830363,72.21962234,67.52731658,63.31097271,49.90897508,83.98421193
0.005,66.63966279,75.67396347,62.25267806,79.96741882,75.46181971,50.41742798,68.06089764,46.60896452,65.01956873,66.7435153,68.70751744,54.96623818,88.85110444,72.48083738,66.98745766,74.80326951,75.82344325,66.48320895,65.11072845,75.98609935,82.05767938,62.62518416,73.86285607,59.59991704,80.88231365,54.61152421,78.59337845,66.33065798,78.61898066,84.76161239,51.63267417,63.08501607,74.44796308,75.61660154,67.51389637,87.75884628,67.65820353,58.61187808,44.72666693,69.15967615,50.12825064,76.65726717,68.9940059,72.05846305,63.92072377,50.90472773,62.21178645,79.83777596,68.62973743,54.76503836,56.69763115,73.97038795,58.61805125,61.19652978,71.34606743,35.03158734,70.57596811,60.32373362,61.06058742,73.4556809,71.17990946,58.76715305,65.09012469,25.56984027,78.62945949,64.78298278,69.20597677,65.49097476,58.7971668,75.96654945
0.006,76.30081966,68.55479245,62.14065931,72.78843999,76.14105233,64.64568037,77.36728465,36.95032513,62.57105032,75.44199837,63.69153843,64.84076737,79.69365074,66.21041448,74.85474606,74.89500143,72.71031035,61.49241904,54.99983116,71.75179467,83.07731287,70.25258792,75.45479231,45.79498618,78.3087111,70.62490711,75.39165017,68.57292904,78.56506805,86.79852881,56.96758907,72.1018776,82.24241917,63.40747211,64.11808508,77.51566367,66.28457113,72.1808965,39.52861274,71.04249277,38.12354773,65.35242399,62.64793538,75.3734235,53.86972334,40.74400102,75.01227063,72.4007024,55.12604593,54.45463306,56.86766972,74.05452157,62.28962755,53.28076473,62.42291026,39.56801835,66.15467277,65.00177814,58.77839818,67.81898319,69.1837103,64.86400969,69.0813983,30.64932095,81.072663,67.47151272,78.66564225,58.29434976,59.98422956,70.56393722
0.007,53.05671579,85.45795049,64.7365961,68.55558,77.15598689,82.13942569,53.78728137,44.54814795,64.90303535,74.80575964,60.52900793,46.78103323,81.1561437,69.54245779,72.25898517,67.32201533,58.07539935,71.19834236,72.69775859,67.02174041,78.24308715,64.12857546,73.94055629,59.23999767,75.94205845,71.59184368,85.9876205,77.04895543,78.26765328,71.15376125,62.37608315,53.15237157,71.2679747,71.41593828,77.1879712,67.97932686,69.81747992,70.97403166,48.31076725,84.72861654,41.8100543,65.00738019,72.58179199,85.58712772,76.16583084,48.28909874,70.35723117,87.2115423,71.34164571,56.43958426,53.43816758,80.23154479,54.1212067,53.95679569,76.39800869,36.97217897,56.97118628,54.57252699,66.47822978,79.94009338,77.83540799,66.74970917,68.91170472,24.52288564,75.47820533,66.18523055,60.87486491,61.89398083,54.13213655,58.29490584
0.008,67.08698027,78.66123697,69.64836952,66.94409787,79.62749081,70.62940779,55.87018004,45.66930173,75.63519446,70.4365911,69.84849671,50.65748759,85.1754616,68.31871456,73.50511151,78.79481108,67.33065723,61.87365353,63.12179371,70.47372106,74.89658225,55.31721656,67.56806417,50.68908019,67.36142039,64.57354298,80.98615549,85.04696085,78.41665039,79.50822249,42.91735344,68.69520362,73.85440212,71.77267028,71.51752784,65.09775529,55.17840171,59.95759238,51.1114878,65.64571267,31.27215998,57.86752546,76.29592461,81.47379183,59.53253201,33.5322927,66.56941045,77.58346935,64.9091978,74.04195656,57.29161213,80.03683625,57.40191895,51.93293805,71.85344765,35.15085417,63.43869776,62.42587809,54.96794472,61.21429048,60.96412581,61.26045677,78.33609244,34.91372265,87.99269185,78.76888904,69.16821918,63.54569323,51.43376755,82.13870027
0.009,60.61175348,73.83004485,71.42587668,70.87273479,80.04868587,66.51489863,81.31033703,51.0700988,61.77931287,64.23318726,60.0938801,50.24662241,80.30372517,59.42169214,68.86881632,73.3231178,69.28993911,65.27373138,81.57040158,69.61020128,65.36340291,67.09697193,78.1839859,60.48828481,76.417622,60.08853516,78.64534325,79.43846446,80.25504301,74.62919238,53.62156117,63.00172656,75.35496927,61.0367833,82.306693,75.91797634,73.00279264,54.80965923,43.14799939,76.77909151,36.49013399,72.76833436,57.36086304,72.97103216,60.26762446,39.5247513,61.46881805,78.32113585,62.83755013,65.65110295,61.42382215,74.33011813,63.64797137,53.17550111,73.88104768,25.8828037,65.73656253,55.5192014,65.51681081,75.61994519,74.50982763,64.40912404,64.782876,35.19852098,68.63647088,79.0594166,63.22401425,62.36127592,48.17574043,70.57572421
0.01,62.66531115,80.50449298,62.23849763,66.35664481,79.38226492,76.33829303,61.03489909,49.2801307,65.41808549,65.47647262,61.56207669,64.22510136,73.94270624,66.88391236,70.51580195,64.01811051,69.05201364,73.60955585,69.07733783,65.24419243,80.8434047,68.16894348,65.16806503,58.56656598,74.8865739,69.86094916,76.47770647,78.33761798,72.06633839,88.81520869,53.8652531,67.16142814,70.0634896,66.59300397,65.8381877,68.41098199,64.58354323,64.42267934,49.41469789,73.98436927,35.5288959,66.41999785,77.92941391,81.86644351,73.27773629,39.30015096,69.5595368,77.49758576,59.32384737,58.14541573,69.17572962,76.44593732,60.36184823,51.9330265,70.03021897,33.3267621,68.24874958,66.96079495,61.31656054,75.68036054,82.3296434,63.03712759,68.2472752,26.48454436,86.45013092,78.12617232,61.95625959,67.33614094,52.92433994,72.06331135
