Time,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40
0,0,0.011893832,0,0.011618996,0,0,0,0,0,0,0.154987699,0,0.211386632,0,0.148024632,0.203232484,0.193052701,0,0,0.13834678,0.107682549,0,0.20008094,0.103162876,0,0,0.120422307,0,0,0.176409092,0,0.013499841,0.01226803,0,0.013525261,0.013169268,0.013546251,0.013820679,0.01357964,0.013632756,0.013341485,0,0.012445862,0.013661553,0,0.01319357,0.012252681,0.013603245,0,0,0.013406845,0,0.013709593,0,0,0.012586099,0.012468536,0,0.012862507,0.012424108,0.013076764,0.012607565,0,0.012990323,0.013347598,0.01318075,0.012562124,0,0.013524204,0.013137018
0.001,0,0,0,0,0,0,0,0,0,0.010510177,0,0,0,0,0,0,0.156230257,0,0.192486255,0,0.167532055,0,0.115036631,0.207982762,0.218967982,0.157649875,0,0,0.12634621,0,0.013906829,0,0.013569489,0.013871111,0.012108013,0.012467299,0,0.012561614,0.012579467,0,0.012450861,0.012715608,0.012473882,0.012615561,0.01337079,0.01231401,0,0.013103361,0,0,0,0.013026554,0,0.012416429,0,0.013671841,0.013256728,0.013077477,0.013554259,0,0.013254024,0.013843397,0,0.012700384,0.013363469,0.012638256,0.012514223,0.013198359,0.013271723,0
0.002,0,0,0.010532443,0,0,0,0,0,0,0,0.122103532,0.200612736,0,0,0.177502253,0.213109236,0,0.127989389,0,0,0.205272158,0,0.199439203,0,0.196685413,0,0,0.180747336,0.204807008,0,0.01306119,0.012192234,0.012975637,0.012143777,0.013631585,0.012688054,0.013376853,0.012471471,0.012949582,0,0.013868365,0,0.013086158,0.013360482,0.01365652,0.013221267,0,0.012700877,0.012997902,0,0,0,0,0.013849215,0,0.013635819,0.013882194,0,0,0,0.012972495,0,0.013467005,0.012419648,0.012933068,0.01252104,0,0.012424997,0,0.013239097
0.003,0,0,0,0,0,0,0.01153476,0,0,0,0.183731687,0,0.101507341,0.106118518,0.182671608,0.16238979,0.182477717,0,0,0,0.136624174,0,0,0.110710166,0,0.122906669,0,0.199246233,0.116387675,0,0.012008884,0,0.012337443,0,0,0.013017806,0.013546652,0,0.01271262,0.013061748,0.012580818,0.012616864,0.013761576,0,0.013532324,0.01379885,0.012058605,0.013616664,0.012301823,0.012755331,0.012577977,0.013640018,0.013362315,0,0.012518281,0.013566852,0.012404839,0,0.012561971,0,0,0.012405993,0.013691281,0.01299644,0.013799431,0.012181394,0.012399097,0.012938454,0,0
0.004,0,0,0,0,0,0,0,0,0.010476475,0,0.114871777,0.14197646,0.150195113,0,0,0,0,0.188562611,0,0.132709166,0,0.201496779,0,0.161093572,0,0.107831126,0.204161357,0,0,0.108195301,0.012694993,0.013635917,0.013917163,0.013643256,0.012756754,0.013556585,0.013179214,0.012987184,0.012573065,0,0.01307916,0.013856464,0.013256473,0,0.013933966,0.013090174,0,0.013904433,0,0.012818551,0.012324745,0,0.012480869,0.012701557,0.012813101,0.013546855,0.012061938,0.013606607,0.013420159,0.013152103,0,0,0.012497093,0,0.012124199,0.013952032,0,0,0,0.01369265
0.005,0,0,0,0.010401593,0,0,0,0,0,0,0,0.130855784,0,0.117325155,0,0,0,0.120485456,0,0.213810632,0,0.161004318,0,0,0.138210254,0,0,0.156122679,0.183557532,0.115537918,0.012348522,0.013851076,0.013138058,0,0.012898175,0.012299418,0,0.0137334,0,0.012875661,0.012532341,0.013551582,0,0,0,0.012920493,0.012469398,0,0.013387159,0,0.012740898,0.012887079,0.01293161,0,0.012548433,0.01264854,0,0.013746871,0.01268649,0.012821417,0.012342435,0,0,0.013006972,0.013448078,0.012140092,0.012816237,0.013256072,0.013021094,0.012945982
0.006,0,0,0,0,0,0,0.010113222,0,0,0,0.184240104,0,0,0.155270823,0,0.17484599,0.160501198,0,0,0,0.104204283,0,0,0,0,0,0.13188489,0,0,0.140669225,0,0,0.013980116,0.012870308,0,0,0.013963864,0.013014392,0,0.0126424,0,0.012130416,0.013866119,0,0,0.013583319,0,0.012113711,0.013228225,0.012748233,0.012327652,0.012586764,0.013325708,0,0,0.013127031,0.012376251,0.013994042,0,0.012159944,0.01336649,0.01237872,0,0.012905728,0,0.012664257,0.013770336,0.013406128,0.013128831,0
0.007,0,0,0,0,0.011532662,0,0,0.011090803,0,0,0.148131951,0.171908187,0.165981501,0,0.157402795,0,0,0,0.193325869,0,0,0,0,0,0.139056979,0,0.126893293,0.11857385,0.124428788,0,0.013316946,0,0.012114639,0.012468552,0.013476183,0.012769528,0.013475593,0.013849598,0.012657177,0,0.013881425,0,0,0.012554755,0.012195174,0.01303604,0.01222734,0.013164345,0,0.013314968,0.013773631,0.01257285,0,0.013182504,0.013695824,0.013073036,0.013736945,0.013995103,0,0.012851827,0.012341594,0.012220794,0,0.013134475,0.012400756,0.012705913,0,0.01354849,0.013337808,0
0.008,0,0.011046598,0,0,0,0,0,0,0,0,0.129905218,0,0.192634578,0.113401862,0,0.152529598,0.154297385,0.17536943,0,0.178490809,0.164735899,0.150181086,0,0,0.123962167,0,0.212835071,0.185953685,0.103171957,0.137686557,0.012013101,0,0,0.013576957,0,0,0.012039134,0.0120173,0,0,0,0,0.012153567,0,0.013898897,0,0.012841942,0.0122948,0.012690283,0.013271109,0.012220366,0.013656646,0.013623317,0.012108104,0.013200133,0,0,0.013498885,0,0.013896467,0.013039761,0.013899041,0.012831809,0.013793679,0.013480578,0.012824843,0.012908647,0.013628452,0.012211529,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0.201870314,0,0.146025192,0,0.204690752,0.196509315,0,0.182268786,0,0,0,0.111276197,0,0.16329772,0,0.20224058,0.167850661,0.208315169,0.111775818,0.013262339,0.01360406,0,0.013707041,0.012198819,0.013840974,0.012507101,0.012080987,0.013749097,0.013759881,0,0.012224438,0.012095987,0.01236369,0.01281169,0.01315336,0.012793365,0,0.013890724,0,0.013238606,0.013892318,0,0.01326345,0,0,0.012997137,0,0.012420186,0,0,0,0,0.012885603,0.012330589,0.012474847,0.013843489,0,0.012872253,0
