Time,U1_X,U1_Y,U2_X,U2_Y,U3_X,U3_Y,U4_X,U4_Y,U5_X,U5_Y,U6_X,U6_Y,U7_X,U7_Y,U8_X,U8_Y,U9_X,U9_Y,U10_X,U10_Y,e1_X,e1_Y,e2_X,e2_Y,e3_X,e3_Y,e4_X,e4_Y,e5_X,e5_Y,e6_X,e6_Y,e7_X,e7_Y,e8_X,e8_Y,e9_X,e9_Y,e10_X,e10_Y,e11_X,e11_Y,e12_X,e12_Y,e13_X,e13_Y,e14_X,e14_Y,e15_X,e15_Y,e16_X,e16_Y,e17_X,e17_Y,e18_X,e18_Y,e19_X,e19_Y,e20_X,e20_Y,m1_X,m1_Y,m2_X,m2_Y,m3_X,m3_Y,m4_X,m4_Y,m5_X,m5_Y,m6_X,m6_Y,m7_X,m7_Y,m8_X,m8_Y,m9_X,m9_Y,m10_X,m10_Y,m11_X,m11_Y,m12_X,m12_Y,m13_X,m13_Y,m14_X,m14_Y,m15_X,m15_Y,m16_X,m16_Y,m17_X,m17_Y,m18_X,m18_Y,m19_X,m19_Y,m20_X,m20_Y,m21_X,m21_Y,m22_X,m22_Y,m23_X,m23_Y,m24_X,m24_Y,m25_X,m25_Y,m26_X,m26_Y,m27_X,m27_Y,m28_X,m28_Y,m29_X,m29_Y,m30_X,m30_Y,m31_X,m31_Y,m32_X,m32_Y,m33_X,m33_Y,m34_X,m34_Y,m35_X,m35_Y,m36_X,m36_Y,m37_X,m37_Y,m38_X,m38_Y,m39_X,m39_Y,m40_X,m40_Y
0,599.2650255,-402.8801163,-515.0375859,-565.0239406,-403.9704089,-122.5778481,431.0012707,657.1032969,-779.3680745,71.78877133,-265.6328344,142.2265352,689.0929412,-179.3026883,88.21855281,-122.8038017,32.03904523,-658.3337893,-280.3576055,-415.2047582,658.8096535,133.5655329,140.8728867,98.50893562,-272.8789199,608.4558131,-137.6224923,55.75231957,196.1279227,-671.9030457,-527.4675443,187.6982008,19.83680664,-673.4884098,-370.3823901,-545.7228436,-275.9440639,2.834116196,-401.34141,-238.256001,-22.20457007,693.0496375,517.806987,-423.4349872,381.1552963,452.714467,219.0676482,-341.7714108,29.37065327,721.3002017,155.8449682,446.8902241,-619.091576,104.8965177,-627.0444384,-372.236237,-171.0719432,746.8087167,-507.6372971,474.021435,207.7941701,73.26590059,646.3297831,-284.4737417,-592.2377614,115.3274163,243.4899468,395.5635363,-439.1397469,-79.58221056,-50.53223938,618.6388068,-7.714158309,-664.1064541,30.5064091,229.5971586,143.1998943,-277.5168044,704.0516735,376.6117461,253.8117186,-61.95069202,289.0084625,-642.1978992,-187.8796203,136.8958945,-650.1493557,298.9117323,-29.54883038,339.8668374,201.0501528,-216.0152039,363.7227268,468.63205,-373.9201271,508.2319189,450.428716,232.9627341,113.339281,257.0580734,491.8235848,158.6225366,-776.3215412,44.61189538,376.211071,-273.1386825,50.40315556,-261.9711303,-323.7687613,223.2844248,271.57325,-103.4961648,564.4415818,222.5752737,205.6453536,-428.6394763,80.86152265,144.9010625,-410.0380143,-547.8791861,-169.7831705,566.7964753,-134.5396628,-320.6705372,-342.0502736,-344.7206115,205.7988375,-97.81405755,-513.4465995,218.9071672,-442.1591378,-23.66103299,201.0806462,-694.8734803,185.7442308,-455.8606242,439.4053182,-177.1699375,-426.1874152,-412.8746833
0.001,599.2859723,-402.8586399,-515.0130458,-565.0066842,-403.9414719,-122.585763,431.03076,657.0977852,-779.3587537,71.76025602,-265.6069419,142.2113834,689.0761944,-179.327579,88.24600953,-122.81589,32.03775113,-658.3637614,-280.3433494,-415.178362,658.8079699,133.5753901,140.87734,98.49998198,-272.8694051,608.4527362,-137.6298487,55.75909333,196.1317859,-671.8938221,-527.473608,187.690249,19.83517871,-673.4785432,-370.3771712,-545.7143135,-275.9343821,2.831613718,-401.339772,-238.2461361,-22.21456306,693.0492633,517.8166617,-423.4375172,381.1612099,452.7225311,219.0673792,-341.7614144,29.37968175,721.2959021,155.8449001,446.9002239,-619.0975379,104.9045461,-627.0539543,-372.2393107,-171.0714909,746.798727,-507.6464028,474.0173015,207.7931887,73.26570829,646.330468,-284.4730131,-592.2367642,115.327491,243.4902215,395.5625748,-439.1392414,-79.58134775,-50.53280624,618.637983,-7.715110411,-664.1061483,30.50726448,229.5966406,143.1989232,-277.517043,704.0507377,376.6120985,253.8127181,-61.95066291,289.0091411,-642.1986337,-187.8796823,136.8968926,-650.1485092,298.9111999,-29.54822016,339.8676296,201.0492756,-216.015684,363.7233298,468.6312523,-373.9211237,508.2318358,450.4287793,232.963732,113.3393441,257.0590714,491.8244037,158.6219628,-776.3225389,44.61196285,376.2103899,-273.1379503,50.40238609,-261.9704916,-323.7679394,223.2849944,271.5742123,-103.4964369,564.4416773,222.5762691,205.6463489,-428.6393797,80.86093038,144.9002568,-410.0389671,-547.8788826,-169.7832039,566.7954759,-134.539257,-320.6696232,-342.0500848,-344.7215935,205.7989983,-97.81504453,-513.4475442,218.9074954,-442.1601355,-23.66110061,201.0800299,-694.8742678,185.743252,-455.860829,439.4060295,-177.1706405,-426.1882693,-412.8752033
0.002,599.306919,-402.8371635,-514.9885057,-564.9894278,-403.9125348,-122.593678,431.0602494,657.0922736,-779.3494329,71.73174071,-265.5810493,142.1962317,689.0594475,-179.3524696,88.27346625,-122.8279784,32.03645704,-658.3937334,-280.3290932,-415.1519658,658.8062864,133.5852474,140.8817934,98.49102834,-272.8598902,608.4496593,-137.6372051,55.76586709,196.1356492,-671.8845984,-527.4796717,187.6822971,19.83355079,-673.4686766,-370.3719522,-545.7057834,-275.9247003,2.82911124,-401.3381339,-238.2362711,-22.22455606,693.0488891,517.8263363,-423.4400472,381.1671236,452.7305951,219.0671102,-341.751418,29.38871022,721.2916025,155.844832,446.9102236,-619.1034997,104.9125746,-627.0634702,-372.2423843,-171.0710387,746.7887372,-507.6555085,474.0131679,207.7922074,73.26551599,646.331153,-284.4722846,-592.235767,115.3275657,243.4904962,395.5616132,-439.1387359,-79.58048494,-50.5333731,618.6371592,-7.716062514,-664.1058425,30.50811985,229.5961226,143.197952,-277.5172816,704.0498019,376.612451,253.8137177,-61.95063379,289.0098196,-642.1993683,-187.8797443,136.8978907,-650.1476627,298.9106675,-29.54760993,339.8684219,201.0483984,-216.0161642,363.7239329,468.6304546,-373.9221202,508.2317526,450.4288426,232.96473,113.3394071,257.0600694,491.8252226,158.6213889,-776.3235366,44.61203033,376.2097088,-273.1372181,50.40161663,-261.9698529,-323.7671175,223.285564,271.5751745,-103.4967091,564.4417728,222.5772646,205.6473442,-428.6392831,80.8603381,144.8994511,-410.0399199,-547.8785791,-169.7832372,566.7944764,-134.5388513,-320.6687092,-342.049896,-344.7225756,205.7991592,-97.81603151,-513.4484888,218.9078236,-442.1611332,-23.66116824,201.0794137,-694.8750554,185.7422732,-455.8610338,439.4067408,-177.1713434,-426.1891234,-412.8757234
0.003,599.3278658,-402.8156872,-514.9639655,-564.9721714,-403.8835977,-122.6015929,431.0897387,657.086762,-779.3401121,71.70322539,-265.5551567,142.1810799,689.0427007,-179.3773602,88.30092297,-122.8400667,32.03516294,-658.4237055,-280.314837,-415.1255696,658.8046028,133.5951047,140.8862467,98.48207471,-272.8503753,608.4465824,-137.6445614,55.77264086,196.1395124,-671.8753748,-527.4857353,187.6743453,19.83192286,-673.45881,-370.3667332,-545.6972534,-275.9150185,2.826608762,-401.3364959,-238.2264062,-22.23454905,693.0485149,517.836011,-423.4425772,381.1730373,452.7386591,219.0668411,-341.7414216,29.3977387,721.2873029,155.8447639,446.9202234,-619.1094616,104.920603,-627.0729861,-372.245458,-171.0705864,746.7787474,-507.6646142,474.0090344,207.7912261,73.26532368,646.331838,-284.471556,-592.2347698,115.3276404,243.4907709,395.5606517,-439.1382304,-79.57962213,-50.53393996,618.6363354,-7.717014617,-664.1055367,30.50897523,229.5956046,143.1969809,-277.5175201,704.048866,376.6128034,253.8147173,-61.95060468,289.0104982,-642.2001028,-187.8798063,136.8988888,-650.1468162,298.9101351,-29.5469997,339.8692141,201.0475212,-216.0166443,363.724536,468.629657,-373.9231167,508.2316694,450.4289059,232.965728,113.3394702,257.0610674,491.8260416,158.620815,-776.3245344,44.61209781,376.2090277,-273.1364859,50.40084716,-261.9692142,-323.7662956,223.2861336,271.5761368,-103.4969812,564.4418683,222.57826,205.6483395,-428.6391864,80.85974583,144.8986453,-410.0408728,-547.8782756,-169.7832705,566.793477,-134.5384456,-320.6677952,-342.0497072,-344.7235576,205.79932,-97.81701849,-513.4494334,218.9081517,-442.1621309,-23.66123587,201.0787974,-694.8758429,185.7412944,-455.8612386,439.4074521,-177.1720463,-426.1899776,-412.8762434
0.004,599.3488125,-402.7942108,-514.9394254,-564.9549151,-403.8546607,-122.6095079,431.1192281,657.0812503,-779.3307914,71.67471008,-265.5292642,142.1659282,689.0259538,-179.4022508,88.3283797,-122.8521551,32.03386884,-658.4536776,-280.3005808,-415.0991733,658.8029192,133.6049619,140.8907001,98.47312107,-272.8408605,608.4435055,-137.6519178,55.77941462,196.1433756,-671.8661512,-527.491799,187.6663934,19.83029494,-673.4489433,-370.3615142,-545.6887233,-275.9053367,2.824106284,-401.3348579,-238.2165413,-22.24454205,693.0481407,517.8456857,-423.4451072,381.178951,452.7467231,219.0665721,-341.7314252,29.40676717,721.2830033,155.8446958,446.9302232,-619.1154235,104.9286315,-627.082502,-372.2485316,-171.0701342,746.7687577,-507.6737199,474.0049008,207.7902447,73.26513138,646.332523,-284.4708274,-592.2337726,115.3277152,243.4910455,395.5596902,-439.1377248,-79.57875932,-50.53450682,618.6355115,-7.717966719,-664.1052309,30.50983061,229.5950866,143.1960098,-277.5177587,704.0479302,376.6131558,253.8157169,-61.95057557,289.0111767,-642.2008374,-187.8798682,136.8998869,-650.1459696,298.9096028,-29.54638947,339.8700063,201.046644,-216.0171244,363.7251391,468.6288593,-373.9241133,508.2315863,450.4289692,232.966726,113.3395333,257.0620654,491.8268605,158.6202411,-776.3255321,44.61216528,376.2083467,-273.1357537,50.40007769,-261.9685755,-323.7654737,223.2867033,271.577099,-103.4972534,564.4419638,222.5792554,205.6493349,-428.6390898,80.85915356,144.8978396,-410.0418256,-547.8779721,-169.7833039,566.7924775,-134.5380399,-320.6668812,-342.0495184,-344.7245396,205.7994809,-97.81800546,-513.450378,218.9084799,-442.1631286,-23.6613035,201.0781811,-694.8766304,185.7403156,-455.8614434,439.4081633,-177.1727492,-426.1908317,-412.8767635
0.005,599.3697592,-402.7727345,-514.9148853,-564.9376587,-403.8257236,-122.6174228,431.1487174,657.0757387,-779.3214706,71.64619476,-265.5033716,142.1507765,689.009207,-179.4271415,88.35583642,-122.8642435,32.03257474,-658.4836497,-280.2863246,-415.0727771,658.8012357,133.6148192,140.8951534,98.46416743,-272.8313456,608.4404286,-137.6592742,55.78618838,196.1472388,-671.8569275,-527.4978627,187.6584416,19.82866701,-673.4390767,-370.3562952,-545.6801932,-275.8956548,2.821603807,-401.3332199,-238.2066763,-22.25453505,693.0477665,517.8553603,-423.4476372,381.1848647,452.7547871,219.0663031,-341.7214289,29.41579564,721.2787037,155.8446277,446.9402229,-619.1213854,104.9366599,-627.0920179,-372.2516053,-171.0696819,746.7587679,-507.6828255,474.0007673,207.7892634,73.26493908,646.3332079,-284.4700989,-592.2327754,115.3277899,243.4913202,395.5587286,-439.1372193,-79.57789651,-50.53507368,618.6346877,-7.718918822,-664.1049252,30.51068598,229.5945686,143.1950387,-277.5179973,704.0469943,376.6135083,253.8167164,-61.95054645,289.0118553,-642.2015719,-187.8799302,136.9008849,-650.1451231,298.9090704,-29.54577924,339.8707985,201.0457668,-216.0176046,363.7257422,468.6280616,-373.9251098,508.2315031,450.4290326,232.967724,113.3395964,257.0630634,491.8276794,158.6196672,-776.3265298,44.61223276,376.2076656,-273.1350215,50.39930823,-261.9679368,-323.7646517,223.2872729,271.5780613,-103.4975255,564.4420593,222.5802508,205.6503302,-428.6389932,80.85856129,144.8970339,-410.0427784,-547.8776686,-169.7833372,566.7914781,-134.5376342,-320.6659672,-342.0493296,-344.7255216,205.7996418,-97.81899244,-513.4513226,218.9088081,-442.1641263,-23.66137113,201.0775648,-694.8774179,185.7393368,-455.8616482,439.4088746,-177.1734521,-426.1916858,-412.8772835
0.006,599.390706,-402.7512581,-514.8903452,-564.9204023,-403.7967866,-122.6253378,431.1782068,657.070227,-779.3121498,71.61767945,-265.4774791,142.1356247,688.9924601,-179.4520321,88.38329314,-122.8763318,32.03128065,-658.5136217,-280.2720684,-415.0463809,658.7995521,133.6246764,140.8996068,98.4552138,-272.8218307,608.4373517,-137.6666305,55.79296215,196.1511021,-671.8477039,-527.5039264,187.6504897,19.82703908,-673.4292101,-370.3510762,-545.6716632,-275.885973,2.819101329,-401.3315818,-238.1968114,-22.26452804,693.0473923,517.865035,-423.4501672,381.1907783,452.7628511,219.0660341,-341.7114325,29.42482412,721.2744041,155.8445596,446.9502227,-619.1273473,104.9446884,-627.1015339,-372.2546789,-171.0692297,746.7487781,-507.6919312,473.9966337,207.7882821,73.26474678,646.3338929,-284.4693703,-592.2317782,115.3278646,243.4915949,395.5577671,-439.1367138,-79.5770337,-50.53564054,618.6338639,-7.719870924,-664.1046194,30.51154136,229.5940506,143.1940676,-277.5182359,704.0460585,376.6138607,253.817716,-61.95051734,289.0125338,-642.2023065,-187.8799922,136.901883,-650.1442766,298.908538,-29.54516902,339.8715908,201.0448896,-216.0180847,363.7263453,468.6272639,-373.9261064,508.23142,450.4290959,232.968722,113.3396595,257.0640614,491.8284984,158.6190933,-776.3275275,44.61230024,376.2069845,-273.1342893,50.39853876,-261.9672981,-323.7638298,223.2878425,271.5790235,-103.4977976,564.4421547,222.5812463,205.6513255,-428.6388965,80.85796901,144.8962281,-410.0437313,-547.8773651,-169.7833706,566.7904786,-134.5372285,-320.6650532,-342.0491408,-344.7265036,205.7998026,-97.81997942,-513.4522672,218.9091363,-442.165124,-23.66143876,201.0769485,-694.8782054,185.738358,-455.861853,439.4095859,-177.174155,-426.19254,-412.8778036
0.007,599.4116527,-402.7297817,-514.8658051,-564.9031459,-403.7678495,-122.6332527,431.2076961,657.0647154,-779.302829,71.58916413,-265.4515865,142.120473,688.9757133,-179.4769227,88.41074986,-122.8884202,32.02998655,-658.5435938,-280.2578122,-415.0199846,658.7978685,133.6345337,140.9040602,98.44626016,-272.8123159,608.4342748,-137.6739869,55.79973591,196.1549653,-671.8384802,-527.50999,187.6425379,19.82541116,-673.4193435,-370.3458572,-545.6631331,-275.8762912,2.816598851,-401.3299438,-238.1869465,-22.27452104,693.047018,517.8747097,-423.4526972,381.196692,452.7709152,219.065765,-341.7014361,29.43385259,721.2701045,155.8444915,446.9602225,-619.1333092,104.9527168,-627.1110498,-372.2577525,-171.0687774,746.7387884,-507.7010369,473.9925002,207.7873007,73.26455448,646.3345779,-284.4686417,-592.230781,115.3279393,243.4918695,395.5568055,-439.1362082,-79.57617089,-50.5362074,618.6330401,-7.720823027,-664.1043136,30.51239674,229.5935326,143.1930964,-277.5184745,704.0451227,376.6142131,253.8187156,-61.95048822,289.0132124,-642.2030411,-187.8800542,136.9028811,-650.1434301,298.9080056,-29.54455879,339.872383,201.0440124,-216.0185648,363.7269484,468.6264663,-373.9271029,508.2313368,450.4291592,232.96972,113.3397226,257.0650594,491.8293173,158.6185194,-776.3285252,44.61236771,376.2063034,-273.1335571,50.3977693,-261.9666595,-323.7630079,223.2884121,271.5799858,-103.4980698,564.4422502,222.5822417,205.6523208,-428.6387999,80.85737674,144.8954224,-410.0446841,-547.8770616,-169.7834039,566.7894792,-134.5368228,-320.6641392,-342.0489521,-344.7274857,205.7999635,-97.8209664,-513.4532119,218.9094644,-442.1661217,-23.66150638,201.0763322,-694.878993,185.7373792,-455.8620578,439.4102972,-177.1748579,-426.1933941,-412.8783237
0.008,599.4325995,-402.7083054,-514.841265,-564.8858895,-403.7389124,-122.6411677,431.2371855,657.0592037,-779.2935083,71.56064882,-265.4256939,142.1053212,688.9589665,-179.5018133,88.43820658,-122.9005085,32.02869245,-658.5735659,-280.243556,-414.9935884,658.796185,133.644391,140.9085135,98.43730652,-272.802801,608.4311979,-137.6813433,55.80650967,196.1588285,-671.8292566,-527.5160537,187.6345861,19.82378323,-673.4094769,-370.3406382,-545.654603,-275.8666094,2.814096373,-401.3283058,-238.1770815,-22.28451404,693.0466438,517.8843843,-423.4552272,381.2026057,452.7789792,219.065496,-341.6914397,29.44288107,721.2658048,155.8444234,446.9702222,-619.1392711,104.9607452,-627.1205657,-372.2608262,-171.0683252,746.7287986,-507.7101426,473.9883666,207.7863194,73.26436218,646.3352629,-284.4679132,-592.2297838,115.328014,243.4921442,395.555844,-439.1357027,-79.57530808,-50.53677426,618.6322163,-7.72177513,-664.1040078,30.51325212,229.5930146,143.1921253,-277.5187131,704.0441868,376.6145655,253.8197152,-61.95045911,289.0138909,-642.2037756,-187.8801162,136.9038792,-650.1425836,298.9074732,-29.54394856,339.8731752,201.0431352,-216.0190449,363.7275514,468.6256686,-373.9280994,508.2312537,450.4292225,232.970718,113.3397857,257.0660574,491.8301362,158.6179455,-776.329523,44.61243519,376.2056223,-273.1328249,50.39699983,-261.9660208,-323.762186,223.2889817,271.5809481,-103.4983419,564.4423457,222.5832371,205.6533161,-428.6387033,80.85678447,144.8946166,-410.0456369,-547.8767581,-169.7834372,566.7884798,-134.536417,-320.6632252,-342.0487633,-344.7284677,205.8001243,-97.82195338,-513.4541565,218.9097926,-442.1671194,-23.66157401,201.0757159,-694.8797805,185.7364004,-455.8622625,439.4110085,-177.1755608,-426.1942482,-412.8788437
0.009,599.4535462,-402.686829,-514.8167249,-564.8686331,-403.7099754,-122.6490826,431.2666748,657.0536921,-779.2841875,71.53213351,-265.3998014,142.0901695,688.9422196,-179.526704,88.46566331,-122.9125969,32.02739835,-658.603538,-280.2292998,-414.9671922,658.7945014,133.6542482,140.9129669,98.42835288,-272.7932861,608.428121,-137.6886996,55.81328343,196.1626917,-671.820033,-527.5221174,187.6266342,19.8221553,-673.3996103,-370.3354192,-545.646073,-275.8569276,2.811593896,-401.3266677,-238.1672166,-22.29450703,693.0462696,517.894059,-423.4577572,381.2085194,452.7870432,219.065227,-341.6814433,29.45190954,721.2615052,155.8443553,446.980222,-619.145233,104.9687737,-627.1300816,-372.2638998,-171.0678729,746.7188088,-507.7192483,473.984233,207.7853381,73.26416988,646.3359479,-284.4671846,-592.2287866,115.3280887,243.4924189,395.5548825,-439.1351972,-79.57444527,-50.53734112,618.6313925,-7.722727232,-664.103702,30.51410749,229.5924966,143.1911542,-277.5189517,704.043251,376.614918,253.8207147,-61.95043,289.0145694,-642.2045102,-187.8801781,136.9048772,-650.1417371,298.9069408,-29.54333833,339.8739675,201.042258,-216.0195251,363.7281545,468.6248709,-373.929096,508.2311705,450.4292858,232.971716,113.3398488,257.0670554,491.8309552,158.6173716,-776.3305207,44.61250267,376.2049412,-273.1320927,50.39623036,-261.9653821,-323.7613641,223.2895514,271.5819103,-103.4986141,564.4424412,222.5842326,205.6543115,-428.6386066,80.8561922,144.8938109,-410.0465898,-547.8764546,-169.7834706,566.7874803,-134.5360113,-320.6623112,-342.0485745,-344.7294497,205.8002852,-97.82294035,-513.4551011,218.9101208,-442.1681172,-23.66164164,201.0750997,-694.880568,185.7354216,-455.8624673,439.4117198,-177.1762637,-426.1951024,-412.8793638
